SZA(¦È_0)  VZA(¦È)  RAA(¦¤¦Õ)  ¦Ó_a(865)  angstrom(443/865)  f_v  RH  CHL  CDOM  MIN 
  8.41228946E+00   2.38646250E+01   1.24765325E+02   5.45536253E-02  -3.71073897E-01   5.56683951E-02   4.31022150E+01   5.20504000E+00   4.62790000E-02   6.33217000E-01 
  4.00602495E+01   9.69495576E+00   4.13612968E+00   1.58991595E-02   1.90341473E+00   6.74346702E+01   3.33495207E+01   1.53455000E+01   5.02310000E-02   4.34929400E+00 
  5.86222756E+01   3.33645005E+01   4.84792752E+01   2.72225872E-03   1.40440229E+00   3.40248741E+01   4.65088527E+01   9.27238000E-01   1.09950000E-02   5.65579000E-01 
  9.83084717E+00   2.77115940E+01   1.52919498E+02   1.22411052E-02   3.89046195E-01   6.45499119E+00   9.13580294E+01   1.69179900E+01   1.71786300E+00   3.37676300E+00 
  2.61430023E+01   6.58179990E-01   1.87977698E+01   1.20832200E-03   1.42984540E+00   3.52195631E+01   4.22855170E+01   2.47825800E+00   4.39400000E-02   2.24078100E+01 
  6.81426286E+01   2.91351800E+01   1.42157741E+02   7.75242804E-03   1.46743768E+00   3.70068385E+01   3.54308207E+01   4.64072000E-01   1.71090000E-02   1.90481000E-01 
  1.94685336E+01   5.56935888E+01   1.35185350E+02   1.89710451E-02  -3.59453886E-01   1.44148420E-01   4.29804012E+01   6.56216000E-01   7.39630000E-02   3.05722000E-01 
  4.97788614E+01   1.37470740E+01   1.12070969E+02   4.40865193E-03  -3.15609195E-01   1.31830552E+00   9.74637427E+01   2.22324000E+01   4.68387000E-01   1.10687200E+01 
  6.29492903E+00   5.17831117E+01   1.30842190E+02   9.89247900E-02   2.02068668E+00   7.86559345E+01   2.81792836E+01   5.90878000E-01   1.71110000E-02   5.76587000E-01 
  5.49434800E+01   6.19013217E+00   1.66245868E+02   3.36072581E-03   1.75833108E+00   5.24053364E+01   6.55285525E+01   1.75386500E+00   2.53344000E-01   3.87389000E+00 
  6.63720525E+01   2.68155603E+01   1.54756284E+02   9.19072426E-03   1.93334033E+00   7.09292831E+01   4.91914955E+01   2.99885900E+00   4.56830000E-02   2.09704200E+00 
  1.23398274E+01   1.55389476E+01   4.50382719E+01   4.70773536E-01   1.97542658E+00   7.43889783E+01   3.39970698E+01   3.03863000E-01   6.32500000E-03   7.03602000E-01 
  3.94823531E+01   1.38277430E+01   7.98009365E+01   3.40181029E-03   6.98889098E-01   1.21369408E+01   6.70494246E+01   7.54350400E+00   1.69261000E-01   2.47502400E+00 
  6.04803476E+01   9.15831290E+00   2.87607770E+01   3.04183357E-01   1.69667260E+00   7.37289921E+01   9.31032936E+01   4.67732700E+00   1.92209000E-01   2.28438800E+00 
