SZA(¦È_0)  VZA(¦È)  RAA(¦¤¦Õ)  ¦Ó_a(865)  angstrom(443/865)  f_v  RH  CHL  CDOM  MIN 
  1.21652742E+01   3.14895469E+01   1.62725713E+02   1.46499021E-01   1.91848710E+00   6.81746363E+01   4.46791139E+01   3.16621400E+00   2.25542000E-01   6.31749000E-01 
  3.53439499E+01   1.72946750E+01   1.66392855E+02   7.46707396E-02   2.01746831E+00   8.77355281E+01   7.80189317E+01   5.20504000E+00   4.62790000E-02   6.33217000E-01 
  4.89559742E+01   2.46723029E+01   1.12142747E+02   1.09261674E-02   1.99473443E+00   7.50711175E+01   6.02908996E+01   1.53455000E+01   5.02310000E-02   4.34929400E+00 
  6.98607705E+01   3.70083641E+00   6.97705601E+01   3.18650458E-02   1.55169694E+00   3.65339960E+01   7.53526463E+01   9.27238000E-01   1.09950000E-02   5.65579000E-01 
  1.86526653E+01   4.33143058E+01   5.13504406E+01   4.54481087E-03   2.02218209E+00   7.72394058E+01   2.26890109E+01   1.69179900E+01   1.71786300E+00   3.37676300E+00 
  5.28035495E+01   6.10941458E+01   5.00512987E+00   1.08155159E-02   1.45118193E+00   3.57780283E+01   2.93424403E+01   2.47825800E+00   4.39400000E-02   2.24078100E+01 
  8.63025483E+00   4.64239688E+01   5.66547093E+01   1.27165388E-02   1.70611756E+00   4.59346156E+01   7.53324304E+01   4.64072000E-01   1.71090000E-02   1.90481000E-01 
  7.89475704E+00   2.07041448E+01   1.58917568E+02   2.35091760E-02   1.26294285E+00   2.75149609E+01   5.35724845E+01   6.56216000E-01   7.39630000E-02   3.05722000E-01 
  3.73586837E+01   1.30505301E+01   3.74723618E+01   1.10857576E-03   5.77540474E-01   1.04467304E+01   5.59074936E+01   2.22324000E+01   4.68387000E-01   1.10687200E+01 
  6.68044966E+01   4.66277759E+01   7.27290927E+01   3.84290551E-01   1.94227513E+00   7.02533957E+01   5.44065262E+01   5.90878000E-01   1.71110000E-02   5.76587000E-01 
  5.88151520E+01   8.79396286E+00   9.77641428E+01   3.51320406E-02   1.76366404E+00   8.03630527E+01   9.20886264E+01   1.75386500E+00   2.53344000E-01   3.87389000E+00 
  7.87854813E-01   4.74921465E+01   1.64600074E+01   5.21346764E-03   1.82007383E+00   8.75441980E+01   9.04514668E+01   3.03863000E-01   6.32500000E-03   7.03602000E-01 
  6.49885772E+01   6.81323201E+01   1.74632747E+02   9.93820232E-02   3.30102976E-01   5.96331941E+00   8.27455834E+01   7.54350400E+00   1.69261000E-01   2.47502400E+00 
  6.35683546E+01   3.14598660E+01   1.22217589E+02   3.92366074E-01   1.25168433E+00   2.36376581E+01   7.70828393E+01   4.67732700E+00   1.92209000E-01   2.28438800E+00 
  6.73460717E+01   2.26065458E+00   1.90368618E+01   1.58302540E-01   1.83624004E+00   5.88417134E+01   6.48132293E+01   3.93928600E+00   4.17450000E-02   8.15068000E-01 
  3.52810420E+01   2.16016808E+01   5.32296362E+01   7.29016524E-02   1.86800808E+00   6.96814664E+01   8.06021098E+01   3.09457000E+00   1.40794000E-01   1.10140900E+00 
  5.96672554E+01   6.53398446E+01   1.12215763E+02   8.76618666E-03   1.83749551E+00   5.92597088E+01   6.27489483E+01   5.78729000E-01   9.26690000E-02   3.64449000E-01 
  3.94901389E+01   3.76178838E+01   1.75547566E+02   1.52738945E-01  -2.89698878E-01   8.67826827E-01   6.30187112E+01   2.09550000E+00   3.75035000E-01   5.97974000E-01 
  9.94264828E+00   3.43992165E+01   2.59964180E+01   1.09806515E-02   2.05946092E+00   8.20134386E+01   3.49868607E+01   6.02666900E+00   8.48100000E-02   4.47600400E+00 
  3.62879657E+01   6.20741047E+01   1.51745876E+02   1.26439595E-01   1.86372519E+00   7.51987062E+01   8.36878811E+01   1.82546200E+01   8.34056000E-01   1.91804800E+00 
  2.61517879E+01   2.13626688E+00   1.86659500E+01   2.16460063E-03   1.69643145E+00   4.65767763E+01   7.02540151E+01   2.19842300E+00   6.83170000E-02   1.41199200E+00 
  1.15034366E+01   1.40920314E+01   9.13169494E+01   2.33582633E-01   7.06984210E-01   1.04055845E+01   9.20354473E+01   2.99917700E+00   9.56420000E-02   3.19067000E-01 
  1.56546174E+01   5.09908975E+01   2.97617307E+01   2.37592581E-01   1.64549314E+00   6.27350320E+01   9.36580766E+01   2.26898800E+00   7.36960000E-02   4.29033100E+00 
  4.80568068E+00   1.16337607E+01   1.22161051E+02   1.67702318E-02  -2.46670134E-01   1.02612747E+00   2.39579362E+01   2.11378000E+00   8.06000000E-02   1.47553300E+00 
  1.01412908E+01   2.67251168E+01   1.28793247E+01   1.84638933E-03   1.99061621E+00   7.47083845E+01   3.58008076E+01   5.45367400E+00   2.20989000E-01   6.58274000E-01 
  4.62245868E+01   1.41193993E+01   2.50328555E+01   1.19472885E-01   1.81372598E+00   5.84846525E+01   3.72783522E+01   1.06412400E+00   7.87900000E-02   5.54833000E-01 
  5.86595600E+01   6.93014891E+01   1.52740866E+02   1.02515360E-02   1.65540303E+00   7.23869693E+01   9.58381766E+01   9.55992000E-01   8.17890000E-02   2.66407000E-01 
  2.20336875E+01   8.70464341E+00   1.85077633E+01   3.90608090E-01   1.62075054E+00   4.84440609E+01   8.78938957E+01   6.52210000E+00   2.54536000E-01   4.12665000E-01 
  1.52292038E+01   6.48644366E+00   1.12790778E+02   1.18686146E-02   1.94939469E+00   7.02369698E+01   2.33385014E+01   2.80624500E+00   1.42912000E-01   2.36005500E+00 
  5.43091706E+01   3.72314439E+01   4.84014054E+00   1.30243906E-03   1.88272241E+00   8.77906411E+01   8.66387014E+01   1.83027200E+01   4.64146000E-01   9.78115800E+01 
  2.60379953E+01   6.85127480E+01   4.31878168E+01   3.91606175E-01   8.24830234E-01   1.48151581E+01   6.43886254E+01   2.42332800E+00   2.24902000E-01   1.48325300E+00 
  3.62114977E+01   5.45005438E+01   1.56245971E+02   1.49143532E-03   3.35485189E-01   7.12233266E+00   4.32441071E+01   6.76553200E+00   1.14494000E-01   4.03890000E-01 
  5.23826432E+01   5.17315935E+00   4.20076040E+01   1.21408626E-01   2.16333125E+00   9.68641317E+01   4.36731598E+01   1.41936000E+00   1.02906000E-01   1.35533200E+00 
  4.82328133E+01   6.77646076E+01   8.53209311E+01   1.49907303E-03   1.10142652E+00   2.25659825E+01   3.31047403E+01   2.39645200E+00   1.95328000E-01   7.84179600E+00 
  5.74703715E+01   4.55251581E+01   1.14297587E+02   3.10520767E-01   1.92048642E+00   9.89919289E+01   8.69323476E+01   4.30163900E+00   3.60409000E-01   1.56431400E+00 
  1.31380099E+01   6.42645076E+01   1.19362005E+02   1.55533645E-01   2.04011731E+00   8.92699152E+01   7.70852738E+01   1.87040600E+00   5.89419000E-01   1.24282700E+00 
  6.39754422E+01   1.00469406E+01   4.02115419E+01   1.12144930E-01   1.17044677E+00   2.17502902E+01   8.54284598E+01   3.56890200E+00   1.18204000E-01   1.65228000E+00 
  1.38406892E+01   6.90310412E+00   9.57861941E+01   4.29515691E-01   6.69564348E-01   1.25730137E+01   4.21951121E+01   4.53118900E+00   1.17436000E-01   3.05491400E+00 
  6.44332865E+01   5.58281348E+01   1.11089109E+02   2.28703384E-03   2.15512221E+00   9.51118662E+01   3.57880607E+01   2.54097200E+00   1.23243000E+00   7.62044000E-01 
  3.91342179E+01   3.89710646E+01   3.37021753E+01   1.38966269E-01   1.50557784E+00   5.04501929E+01   9.95259907E+01   3.52802400E+00   1.63452000E-01   2.14554100E+00 
  3.64677057E+01   2.63391822E+01   1.14024881E+02   6.50519595E-03   1.54477493E+00   4.04214867E+01   2.12925730E+01   1.35996000E+00   5.24200000E-02   1.66977300E+00 
