SZA(¦È_0)  VZA(¦È)  RAA(¦¤¦Õ)  ¦Ó_a(865)  angstrom(443/865)  f_v  RH  CHL  CDOM  MIN 
  3.03903434E+01   6.55718651E+01   1.40811399E+02   2.87796609E-01   2.19920558E+00   7.99094212E+01   2.55279472E+01   5.20504000E+00   4.62790000E-02   6.33217000E-01 
  2.17949628E+01   4.13029448E+01   1.57285596E+02   8.09289044E-03   1.94503903E+00   7.55400086E+01   8.70988782E+01   1.53455000E+01   5.02310000E-02   4.34929400E+00 
  4.57946758E+01   5.07051792E+01   9.74826087E+01   6.99370983E-03  -1.35964006E-02   1.34029435E+00   4.59097071E+01   1.69179900E+01   1.71786300E+00   3.37676300E+00 
  6.54683064E+00   2.87597475E+00   6.03143754E+01   3.17772629E-03   1.79158714E+00   8.77280010E+01   9.72756552E+01   2.47825800E+00   4.39400000E-02   2.24078100E+01 
  1.32034929E+01   9.74758921E+00   8.62612446E+01   3.31268323E-03   1.42697886E+00   2.86182295E+01   3.41007235E+01   4.64072000E-01   1.71090000E-02   1.90481000E-01 
  2.79810454E+01   1.63424846E+01   1.62438362E+02   2.31210866E-02   2.02213732E+00   6.37672400E+01   4.31748985E+01   6.56216000E-01   7.39630000E-02   3.05722000E-01 
  1.65475604E+01   3.45345771E+01   1.32704738E+02   1.94992642E-02   2.14688609E+00   7.51688420E+01   3.85029820E+01   1.75386500E+00   2.53344000E-01   3.87389000E+00 
  3.38477352E+01   1.39123225E+01   8.52351451E+01   1.53602652E-01   1.90748790E+00   5.36757640E+01   2.32670976E+01   2.99885900E+00   4.56830000E-02   2.09704200E+00 
  2.42061488E+01   3.00925486E+01   9.62486625E+01   3.18907942E-01   8.26914536E-02   1.29299430E+00   8.50304264E+01   3.03863000E-01   6.32500000E-03   7.03602000E-01 
  2.75561015E+01   3.70961578E+01   1.55389138E+02   1.33825775E-01   2.31361815E+00   9.64707462E+01   5.35180742E+01   7.54350400E+00   1.69261000E-01   2.47502400E+00 
