R_toa(555)  R_toa(659)  R_toa(865)  R_toa(1375)  R_toa(1610)  R_toa(2250)  
  5.23626775E-02   3.71907493E-02   2.39880073E-02   1.64360299E-04   4.08019474E-03   1.16978361E-03 
  3.01203665E-02   1.24108681E-02   3.05491594E-03   1.24928073E-04   2.66730690E-04   7.54970587E-05 
  1.64068720E-02   9.46442635E-03   2.48754349E-03   9.55312055E-05   2.76753869E-04   1.30348484E-04 
  4.89551448E-02   2.72761365E-02   3.77358270E-03   1.06091252E-04   1.99517073E-04   6.12118731E-05 
  1.40699503E-02   6.02641123E-03   2.07013079E-03   1.03639997E-04   2.76633704E-04   1.25685962E-04 
  1.56571372E-02   7.34083882E-03   2.89972966E-03   1.06044518E-04   4.44304854E-04   1.66533521E-04 
  2.73968236E-02   1.09828087E-02   3.17636389E-03   1.13594606E-04   3.63960207E-04   1.20027797E-04 
  2.76232422E-02   1.35612886E-02   6.66524005E-03   8.77571275E-05   1.78745614E-03   1.03986339E-03 
  2.31888157E-02   1.33407005E-02   9.81655138E-03   1.00176028E-04   6.57447366E-03   5.07532105E-03 
  3.29715536E-02   1.76115341E-02   8.27593251E-03   1.22523624E-04   1.08521828E-03   2.01432813E-04 
  2.00854950E-02   1.15597173E-02   6.17203632E-03   8.60867474E-05   1.42442710E-03   4.43356982E-04 
  1.58439426E-02   6.19317624E-03   1.99035423E-03   8.27862930E-05   2.35848146E-04   9.05231683E-05 
  2.65755503E-02   1.35412206E-02   6.52917683E-03   9.99412061E-05   1.29359780E-03   6.30467775E-04 
  3.03650782E-02   1.95508312E-02   1.42165414E-02   8.74252193E-05   8.29122049E-03   5.62421141E-03 
  2.59588412E-02   1.51527163E-02   8.42345845E-03   1.25349382E-04   2.77301882E-03   1.74081438E-03 
  2.68253669E-02   1.94005138E-02   1.21504239E-02   8.44075702E-05   2.52598855E-03   1.10227823E-03 
  3.61830256E-02   2.37442694E-02   1.65346171E-02   1.28826165E-04   8.07522392E-03   5.57457822E-03 
  3.17956976E-02   1.31805434E-02   3.59623440E-03   1.38956063E-04   3.03298842E-04   9.78731247E-05 
  1.18488040E-02   5.91690235E-03   1.47730360E-03   5.76412301E-05   1.02479699E-04   2.60403026E-05 
  2.68787336E-02   1.18858481E-02   4.38180709E-03   1.42737528E-04   5.45088002E-04   2.06839281E-04 
  2.83376190E-02   9.27748083E-03   2.07730729E-03   8.44430246E-05   2.09943029E-04   9.79832865E-05 
  2.61087918E-02   9.92798698E-03   2.05772481E-03   7.81098251E-05   1.42630745E-04   3.67558076E-05 
  2.26796728E-02   1.02221732E-02   3.55411448E-03   1.17166342E-04   2.74711864E-04   6.55276810E-05 
  1.97834412E-02   8.68530120E-03   3.01509775E-03   1.08435595E-04   4.32766233E-04   1.69143230E-04 
  1.55565146E-02   7.27208414E-03   3.15752075E-03   8.43002973E-05   8.04803404E-04   4.76379871E-04 
  1.29981668E-02   5.72202252E-03   2.06218470E-03   8.74901714E-05   3.13612511E-04   1.56522173E-04 
