Rrs[¦È_0,0,0](555)  Rrs[¦È_0,0,0](659)  Rrs[¦È_0,0,0](865)  Rrs[¦È_0,0,0](1375)  Rrs[¦È_0,0,0](1610)  Rrs[¦È_0,0,0](2250)  Rrs[¦È_0,¦È,¦¤¦Õ](555)  Rrs[¦È_0,¦È,¦¤¦Õ](659)  Rrs[¦È_0,¦È,¦¤¦Õ](865)  Rrs[¦È_0,¦È,¦¤¦Õ](1375)  Rrs[¦È_0,¦È,¦¤¦Õ](1610)  Rrs[¦È_0,¦È,¦¤¦Õ](2250)  
  9.02061722E-03   1.59438525E-03   1.33239439E-04   1.14998652E-06   7.89035397E-07   2.56889795E-07   1.03732790E-02   1.77040164E-03   1.41837788E-04   1.18702651E-06   8.11953502E-07   2.63770905E-07 
  1.99486346E-02   6.07314264E-03   5.09644679E-04   4.04885555E-06   2.73215199E-06   8.59130696E-07   2.11747541E-02   6.50194290E-03   5.32974954E-04   4.24511043E-06   2.86617569E-06   9.02395775E-07 
  7.39610173E-03   5.08771538E-03   4.62596940E-04   3.84382761E-06   2.61357995E-06   8.35015440E-07   8.63391949E-03   5.95816784E-03   5.24599186E-04   4.29662484E-06   2.91903905E-06   9.17912933E-07 
  4.37700000E-02   2.38853378E-02   1.79755684E-03   1.35230474E-05   8.91808013E-06   2.66286469E-06   4.38076440E-02   2.38984454E-02   1.79758931E-03   1.38743185E-05   9.15299468E-06   2.73444421E-06 
  3.71883204E-03   4.60538386E-04   2.88107001E-05   2.00294548E-07   1.30966001E-07   3.89306491E-08   3.72469586E-03   4.71655274E-04   3.06103397E-05   2.15756639E-07   1.41545277E-07   4.21267010E-08 
  4.03224278E-03   5.70067721E-04   3.78026663E-05   2.75843092E-07   1.81916465E-07   5.48337331E-08   4.19607198E-03   6.13834509E-04   4.20306838E-05   3.08525344E-07   2.03539294E-07   6.12189656E-08 
  1.69063364E-02   4.42847597E-03   3.45222213E-04   2.74405081E-06   1.81875663E-06   5.49502481E-07   1.75889458E-02   4.51770063E-03   3.26047754E-04   2.54241405E-06   1.68553282E-06   5.09715208E-07 
  1.51885134E-02   2.69803805E-03   1.97990640E-04   1.57474100E-06   1.05538974E-06   3.27214808E-07   1.54081842E-02   2.74088102E-03   2.03341848E-04   1.62993628E-06   1.09301964E-06   3.37741003E-07 
  6.83132328E-03   9.06844706E-04   6.45209368E-05   4.77166698E-07   3.12569279E-07   9.25713978E-08   6.94928985E-03   8.69920863E-04   5.94392070E-05   4.37266095E-07   2.86613859E-07   8.45625244E-08 
  1.44091351E-02   3.59661780E-03   2.80740533E-04   2.24628647E-06   1.51613077E-06   4.77270559E-07   1.53605367E-02   3.90030859E-03   3.14249026E-04   2.58480009E-06   1.74522224E-06   5.49204999E-07 
  1.34044479E-02   3.13049261E-03   2.35420708E-04   1.93887173E-06   1.30940130E-06   4.11106969E-07   1.38759508E-02   3.29938081E-03   2.50114815E-04   2.00381923E-06   1.34430134E-06   4.21415475E-07 
  9.43034197E-03   1.74343064E-03   1.42715838E-04   1.20853799E-06   8.23908880E-07   2.65033425E-07   9.45728765E-03   1.73394857E-03   1.38960172E-04   1.16775187E-06   7.96011765E-07   2.56061713E-07 
  9.38721721E-03   1.66664608E-03   1.45258736E-04   1.24033260E-06   8.44159144E-07   2.70284123E-07   9.66957577E-03   1.59912460E-03   1.25961605E-04   1.04932952E-06   7.13114870E-07   2.28614958E-07 
  8.95224398E-03   1.74079618E-03   1.36048719E-04   1.09991339E-06   7.42384723E-07   2.33888210E-07   9.28113913E-03   1.73994277E-03   1.34356621E-04   1.09698674E-06   7.47745146E-07   2.37379434E-07 
  4.24746110E-03   6.67608757E-04   4.75233140E-05   3.52983622E-07   2.32473170E-07   6.97277530E-08   4.23454730E-03   6.08432014E-04   4.20163144E-05   3.12947418E-07   2.06330449E-07   6.17613296E-08 
  4.34722804E-03   1.04635552E-03   8.13861016E-05   6.76555630E-07   4.59881254E-07   1.47049975E-07   5.26671075E-03   1.25788408E-03   9.71503917E-05   8.08419092E-07   5.49281764E-07   1.75395345E-07 
  6.42015681E-03   9.68795306E-04   7.27717679E-05   5.56533336E-07   3.67045866E-07   1.09938611E-07   6.78297479E-03   9.05306900E-04   6.27423909E-05   4.68652599E-07   3.08392959E-07   9.21259476E-08 
  2.22339969E-02   5.65654701E-03   4.08904196E-04   3.24319846E-06   2.17073205E-06   6.70523382E-07   2.47388914E-02   6.51556791E-03   4.42638718E-04   3.38822210E-06   2.26602912E-06   6.99073200E-07 
  8.77407584E-03   4.09127289E-03   3.64420430E-04   3.04998272E-06   2.09118318E-06   6.79823543E-07   9.40945845E-03   4.38882138E-03   3.78626550E-04   3.12280231E-06   2.13964419E-06   6.94411513E-07 
  1.14323985E-02   1.91760151E-03   1.46558396E-04   1.18817441E-06   7.98195567E-07   2.48854785E-07   1.29022022E-02   2.13459547E-03   1.52919666E-04   1.21534848E-06   8.16024919E-07   2.54118962E-07 
  2.21717794E-02   4.94252738E-03   3.62527409E-04   2.84506159E-06   1.88840349E-06   5.72639369E-07   2.39631069E-02   5.27743600E-03   3.49393348E-04   2.67406678E-06   1.79179069E-06   5.47155891E-07 
  2.42090771E-02   6.93275182E-03   4.90175981E-04   3.84183230E-06   2.56410725E-06   7.86951260E-07   2.65704746E-02   7.74590939E-03   5.17781974E-04   3.92940719E-06   2.62054788E-06   8.02936276E-07 
  1.17269635E-02   1.96394340E-03   1.39578551E-04   1.10833401E-06   7.43757107E-07   2.31292646E-07   1.48252327E-02   2.53977186E-03   1.75284228E-04   1.40897935E-06   9.45210090E-07   2.93441711E-07 
  7.07301792E-03   1.62525903E-03   1.33070620E-04   1.09975425E-06   7.51666502E-07   2.43305846E-07   7.77342199E-03   1.70874894E-03   1.38720151E-04   1.18269627E-06   8.11067591E-07   2.64120277E-07 
  5.77697021E-03   8.59774888E-04   6.03011280E-05   4.61741989E-07   3.07434410E-07   9.42435162E-08   5.82945268E-03   8.90259733E-04   6.53599319E-05   5.08516480E-07   3.38967047E-07   1.04087968E-07 
  4.10486827E-03   6.21525529E-04   4.51049775E-05   3.47578714E-07   2.32001083E-07   7.16193016E-08   4.05073046E-03   5.95746734E-04   4.17811445E-05   3.18924358E-07   2.12785629E-07   6.56456515E-08 
  6.49170497E-03   1.52675720E-03   1.24808417E-04   1.06409905E-06   7.34204505E-07   2.42134908E-07   6.81933080E-03   1.58201797E-03   1.29126467E-04   1.11371331E-06   7.70665245E-07   2.54281105E-07 
  1.45547781E-02   3.00819857E-03   2.18881567E-04   1.76191723E-06   1.18083998E-06   3.65424131E-07   1.72556267E-02   3.64318527E-03   2.59541905E-04   2.05584070E-06   1.37668658E-06   4.25094932E-07 
  4.97127823E-02   5.96535037E-02   9.16066721E-03   5.46275465E-05   3.60563694E-05   1.07867202E-05   5.13155373E-02   6.03818523E-02   1.00937705E-02   5.75221295E-05   3.78916335E-05   1.12996710E-05 
  7.71342157E-03   1.35085653E-03   1.05464407E-04   8.82165093E-07   6.01202791E-07   1.93329855E-07   7.69314706E-03   1.33699274E-03   1.02166226E-04   8.47911633E-07   5.77722213E-07   1.85719191E-07 
  9.25720753E-03   2.03808891E-03   1.64643393E-04   1.34060353E-06   8.99904776E-07   2.80086798E-07   1.00818619E-02   2.17154675E-03   1.65886863E-04   1.33566286E-06   8.96625072E-07   2.79177121E-07 
  7.95458776E-03   1.58185833E-03   1.28526666E-04   1.10586208E-06   7.63711104E-07   2.52154840E-07   8.10110812E-03   1.60932835E-03   1.31917288E-04   1.14242819E-06   7.89048425E-07   2.60504271E-07 
