rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  3.75583804E-02   3.33466489E-02   2.35317019E-02   8.08922565E-03   4.81532156E-03   1.59723165E-03 
  4.58151610E-04   3.72937389E-04   2.62755213E-04   1.28128949E-04   8.96967936E-05   3.52049687E-05 
  2.22367984E-04   2.21384657E-04   2.04953358E-04   1.95215629E-04   1.86352731E-04   1.59174244E-04 
  3.53045338E-04   2.56760110E-04   1.41162541E-04   5.61842737E-05   4.21718488E-05   2.38847084E-05 
  2.56621321E-04   2.38284875E-04   2.00078656E-04   1.51112220E-04   1.38516651E-04   1.03517767E-04 
  1.82831966E-03   1.55107991E-03   1.07868500E-03   4.81304760E-04   3.46921635E-04   1.65150673E-04 
  1.51669848E-03   1.22959609E-03   8.26456439E-04   3.25229509E-04   2.16006299E-04   9.30418815E-05 
  1.10006950E-02   8.93264774E-03   5.89752374E-03   2.71466365E-03   2.11110470E-03   1.39660404E-03 
  8.67732660E-03   8.47676591E-03   8.69980413E-03   8.36772653E-03   7.45559250E-03   6.37060050E-03 
  1.25389639E-02   1.00544160E-02   6.50522516E-03   2.02463430E-03   1.07929311E-03   2.02009577E-04 
  1.68296105E-02   1.40371330E-02   1.01087166E-02   4.87035891E-03   3.35583326E-03   1.21399105E-03 
  7.99832701E-04   6.41795492E-04   4.34114028E-04   2.01904768E-04   1.51430621E-04   8.74854430E-05 
  9.39062672E-03   7.44973868E-03   4.67276342E-03   1.76183827E-03   1.23288395E-03   6.93643360E-04 
  1.62043405E-02   1.52099956E-02   1.33041212E-02   1.00771877E-02   9.20631134E-03   6.89176499E-03 
  9.27683966E-03   8.04399078E-03   5.99779417E-03   3.51180284E-03   2.91832555E-03   2.18022783E-03 
  4.34455844E-02   3.89976073E-02   2.63658686E-02   1.01105826E-02   7.04600944E-03   3.81815420E-03 
  1.83936212E-02   1.67018463E-02   1.38298525E-02   9.77657732E-03   8.56056062E-03   6.79163076E-03 
  1.83543887E-04   1.53854518E-04   1.13687047E-04   9.00864074E-05   7.97782086E-05   6.21119346E-05 
  2.07948094E-04   1.56029039E-04   8.60817568E-05   2.25896300E-05   1.31160844E-05   4.87543936E-06 
  2.44755239E-03   1.93748618E-03   1.28881822E-03   5.74672763E-04   4.13760702E-04   2.36688916E-04 
  2.42003755E-04   1.98027750E-04   1.42450267E-04   9.71886588E-05   9.19897028E-05   8.29391906E-05 
  3.57563468E-04   2.69530633E-04   1.55776915E-04   4.50669207E-05   2.64207131E-05   9.16564598E-06 
  1.01228327E-03   8.39966243E-04   4.94047557E-04   1.22472653E-04   6.68321894E-05   2.01623810E-05 
  1.30617547E-03   1.05577558E-03   7.37351078E-04   3.81967752E-04   2.89481240E-04   1.54261506E-04 
