t(555)  t(659)  t(865)  t(1375)  t(1610)  t(2250)  
  4.51802383E-01   5.51278287E-01   6.96388213E-01   8.81695522E-01   9.15908509E-01   9.47555202E-01 
  8.95751029E-01   9.42648991E-01   9.77863298E-01   9.95807711E-01   9.97607616E-01   9.99212040E-01 
  8.72252584E-01   9.31381097E-01   9.73921312E-01   9.92736613E-01   9.94512075E-01   9.96408175E-01 
  9.22651170E-01   9.58071269E-01   9.83709105E-01   9.96945429E-01   9.98289853E-01   9.99492874E-01 
  9.06707114E-01   9.49814100E-01   9.82182271E-01   9.96561708E-01   9.97893116E-01   9.99065808E-01 
  8.87483569E-01   9.33523706E-01   9.71110708E-01   9.92105834E-01   9.94607064E-01   9.96994485E-01 
  8.89151049E-01   9.34949641E-01   9.70854506E-01   9.92149058E-01   9.94815139E-01   9.97236867E-01 
  8.09415844E-01   8.65630632E-01   9.17471545E-01   9.64450345E-01   9.72577087E-01   9.81893926E-01 
  8.59806357E-01   9.00963238E-01   9.37365247E-01   9.47464120E-01   9.51940639E-01   9.60280614E-01 
  7.62663098E-01   8.27911233E-01   8.95802793E-01   9.65983206E-01   9.78604761E-01   9.90223325E-01 
  7.01759506E-01   7.77718021E-01   8.59471517E-01   9.46696971E-01   9.64133230E-01   9.69509694E-01 
  9.02591932E-01   9.46064009E-01   9.78519901E-01   9.94924959E-01   9.96784313E-01   9.98500200E-01 
  8.17685484E-01   8.73055351E-01   9.27268865E-01   9.72750541E-01   9.39178088E-01   9.88344218E-01 
  8.12199270E-01   8.66633575E-01   9.17022742E-01   9.59339814E-01   9.66197295E-01   9.75168709E-01 
  7.62439428E-01   8.31174191E-01   8.94987082E-01   9.38759230E-01   9.45581002E-01   9.53709413E-01 
  5.48356160E-01   6.49360407E-01   7.77240419E-01   9.01333569E-01   9.21452636E-01   9.40796291E-01 
  6.69960779E-01   7.36881564E-01   8.02847341E-01   8.59698417E-01   8.71878877E-01   8.88782701E-01 
  8.47088062E-01   9.16150633E-01   9.73482127E-01   9.94207502E-01   9.96583607E-01   9.98225252E-01 
  8.92034223E-01   9.43180733E-01   9.80029565E-01   9.94729860E-01   9.96729400E-01   9.98834768E-01 
  8.19260238E-01   8.93075158E-01   9.53276824E-01   9.85759814E-01   9.89550749E-01   9.93156664E-01 
  9.00103887E-01   9.45903198E-01   9.80494739E-01   9.72230908E-01   9.97535638E-01   9.94719257E-01 
  8.92404422E-01   9.41596348E-01   9.78977529E-01   9.96148757E-01   9.97827026E-01   9.99249159E-01 
  8.05078456E-01   8.92848525E-01   9.65681387E-01   9.93181009E-01   9.96235878E-01   9.98805061E-01 
  8.68146579E-01   9.24932475E-01   9.67892547E-01   9.90642478E-01   9.93608146E-01   9.96828090E-01 
  8.81372304E-01   9.26139598E-01   9.63382065E-01   9.86362403E-01   9.89965728E-01   9.93660470E-01 
  9.00584591E-01   9.45079495E-01   9.78624380E-01   9.94763528E-01   9.96601717E-01   9.98329287E-01 
  8.89018922E-01   9.37440556E-01   9.70474784E-01   9.90682832E-01   9.96345824E-01   9.98284756E-01 
  6.97194862E-01   7.82598623E-01   8.76406087E-01   9.62487094E-01   9.76150013E-01   9.88000175E-01 
  8.00405825E-01   8.78111027E-01   9.40261185E-01   9.84058797E-01   9.89495710E-01   9.94233206E-01 
  8.91807142E-01   9.40985243E-01   9.77564443E-01   9.94573035E-01   9.96311524E-01   9.97888478E-01 
  8.69186373E-01   9.23614669E-01   9.66425099E-01   9.89611394E-01   9.92436994E-01   9.95496252E-01 
  8.81847412E-01   9.36863325E-01   9.77208680E-01   9.95629522E-01   9.97453975E-01   9.99011365E-01 
  8.77647939E-01   9.16781619E-01   9.51885903E-01   9.80384756E-01   9.85763079E-01   9.92285078E-01 
  4.69993527E-01   5.37339626E-01   6.67748309E-01   8.57007361E-01   9.02329861E-01   9.57693745E-01 
  4.87521703E-01   5.91089693E-01   7.41983029E-01   9.11304298E-01   9.44560922E-01   9.75606363E-01 
  5.83550283E-01   6.88644905E-01   8.19494095E-01   9.47732951E-01   9.67688043E-01   9.84612648E-01 
  8.78014827E-01   9.32521496E-01   9.74007729E-01   9.93106450E-01   9.92003231E-01   9.96414701E-01 
  8.49545408E-01   9.11361409E-01   9.60483762E-01   9.87926102E-01   9.91010552E-01   9.93919775E-01 
  8.90458346E-01   9.32181763E-01   9.66896748E-01   9.90378211E-01   9.93844447E-01   9.97149936E-01 
  9.08891150E-01   9.50090497E-01   9.79723354E-01   9.95406643E-01   9.97152059E-01   9.98694966E-01 
  7.96521612E-01   8.73837354E-01   9.41155816E-01   9.85797397E-01   9.91570537E-01   9.96440127E-01 
  9.12704889E-01   9.52271813E-01   9.82340098E-01   9.96928347E-01   9.98317618E-01   9.99387278E-01 
  9.15568258E-01   9.54583648E-01   9.83683608E-01   9.97052401E-01   9.98354132E-01   9.99442529E-01 
  7.65293825E-01   8.28310243E-01   8.86560939E-01   9.35530903E-01   9.44089812E-01   9.55227637E-01 
  8.53440530E-01   9.09865577E-01   9.55652942E-01   9.84800277E-01   9.89812403E-01   9.95660171E-01 
  8.92873408E-01   9.36707682E-01   9.70642932E-01   9.90629881E-01   9.93687781E-01   9.97401650E-01 
  8.75982634E-01   9.32517382E-01   9.74919254E-01   9.95109474E-01   9.97201602E-01   9.99102399E-01 
  6.30987739E-01   7.08800406E-01   8.08394537E-01   8.95926095E-01   9.10232131E-01   9.24321780E-01 
  6.88143725E-01   7.58907004E-01   8.26419815E-01   8.84331253E-01   8.97009296E-01   9.14257406E-01 
  8.72818815E-01   9.33055118E-01   9.76068598E-01   9.87213741E-01   9.84922869E-01   9.74468219E-01 
  7.68326994E-01   8.29840314E-01   8.92307608E-01   9.41754232E-01   9.53810052E-01   9.72860548E-01 
  8.36882669E-01   8.79771389E-01   9.27977037E-01   9.66410764E-01   9.72906781E-01   9.79741080E-01 
  8.77232730E-01   9.34725595E-01   9.76736767E-01   9.95997789E-01   9.97871253E-01   9.99098426E-01 
  8.70657101E-01   9.19839055E-01   9.60376995E-01   9.86425376E-01   9.90016823E-01   9.93671759E-01 
  8.91895836E-01   9.32940613E-01   9.64086795E-01   9.79978574E-01   9.82460739E-01   9.86063294E-01 
  7.32220699E-01   8.04618148E-01   8.78137099E-01   9.46095719E-01   9.60590812E-01   9.77658637E-01 
  9.01617407E-01   9.43133221E-01   9.74426251E-01   9.92312942E-01   9.94904066E-01   9.97866740E-01 
  9.11417599E-01   9.51863633E-01   9.82810136E-01   9.96858393E-01   9.98230548E-01   9.99338654E-01 
  8.15160137E-01   8.72995022E-01   9.25339056E-01   9.70135338E-01   9.77170852E-01   9.84669913E-01 
  9.02653027E-01   9.46905500E-01   9.78509279E-01   9.95110308E-01   9.96934799E-01   9.98745318E-01 
  9.03770438E-01   9.46918591E-01   9.79335860E-01   9.95178915E-01   9.96926673E-01   9.98506843E-01 
  8.67281646E-01   9.27700686E-01   9.71983266E-01   9.93591273E-01   9.95790029E-01   9.97779748E-01 
  9.07743104E-01   9.50216498E-01   9.81942790E-01   9.96687765E-01   9.98084102E-01   9.99308479E-01 
  8.23878834E-01   8.93822770E-01   9.53371024E-01   9.87325728E-01   9.91590484E-01   9.95730902E-01 
  7.13911775E-01   7.80327018E-01   8.52394774E-01   9.30552893E-01   9.48047612E-01   9.69938696E-01 
  9.14621064E-01   9.54209959E-01   9.83283674E-01   9.97109816E-01   9.98411173E-01   9.99201667E-01 
  7.15363748E-01   7.86859653E-01   8.73617986E-01   9.50824735E-01   9.64976109E-01   9.79195215E-01 
  8.93952996E-01   9.40707044E-01   9.75176610E-01   9.93580125E-01   9.95870259E-01   9.98088497E-01 
  9.00418771E-01   9.46247433E-01   9.80249863E-01   9.96248365E-01   9.97797503E-01   9.93733956E-01 
  6.25047360E-01   7.14961327E-01   8.18984489E-01   9.34497700E-01   9.53802704E-01   9.71470727E-01 
  8.55713997E-01   9.13932265E-01   9.58861095E-01   9.76756398E-01   9.73620178E-01   9.88353335E-01 
  9.11391605E-01   9.52591224E-01   9.82875238E-01   9.97005792E-01   9.98348223E-01   9.99534282E-01 
  8.76077638E-01   9.32888528E-01   9.75066098E-01   9.95183440E-01   9.97208596E-01   9.98994935E-01 
  8.56018204E-01   9.07307975E-01   9.48443554E-01   9.67018068E-01   9.69204440E-01   9.73424278E-01 
  7.57299188E-01   8.43519132E-01   9.22318942E-01   9.78455046E-01   9.86278282E-01   9.93037349E-01 
  8.46726043E-01   9.17982943E-01   9.70595720E-01   9.94217855E-01   9.96583090E-01   9.98500511E-01 
  4.71261780E-01   5.65244884E-01   7.02218217E-01   8.55322874E-01   8.86292493E-01   9.15410025E-01 
  9.05587544E-01   9.50188624E-01   9.82268012E-01   9.96966231E-01   9.98343047E-01   9.99533373E-01 
