SZA(¦È_0)  VZA(¦È)  RAA(¦¤¦Õ)  ¦Ó_a(865)  angstrom(443/865)  f_v  RH  CHL  CDOM  MIN 
  3.83650118E+01   1.58615963E+00   6.77803078E+01   7.90183780E-02   1.43489218E+00   3.55136654E+01   3.71833893E+01   3.16621400E+00   2.25542000E-01   6.31749000E-01 
  2.62308363E+01   6.32150187E+01   2.48333367E+01   2.41431209E-03   1.70488091E+00   4.69363381E+01   7.58467449E+01   5.20504000E+00   4.62790000E-02   6.33217000E-01 
  6.82590907E+00   4.03444268E+01   8.36454788E+01   1.12602138E-02   1.77437140E+00   5.29501166E+01   7.14573772E+01   1.53455000E+01   5.02310000E-02   4.34929400E+00 
  7.71736260E+00   1.90474427E+01   8.77955695E+01   1.70342305E-01   1.76034778E+00   5.39975455E+01   5.86385830E+01   9.27238000E-01   1.09950000E-02   5.65579000E-01 
  2.93868351E+01   5.13870584E+01   9.10935854E+01   1.41533396E-03   9.16305266E-01   1.78502111E+01   3.50144323E+01   1.69179900E+01   1.71786300E+00   3.37676300E+00 
  5.99484924E+01   4.21362515E+00   6.97414158E+01   2.56657186E-02   1.21369053E+00   2.63049515E+01   2.58334518E+01   2.47825800E+00   4.39400000E-02   2.24078100E+01 
  1.29357068E+01   5.39333991E+01   1.06163323E+02   1.98672611E-01   1.87894063E+00   6.58210690E+01   4.47050837E+01   4.64072000E-01   1.71090000E-02   1.90481000E-01 
  2.23478309E+01   1.25340831E+01   5.17062969E+01   1.91523889E-01   2.49686870E-01   5.97381083E+00   4.60699590E+01   6.56216000E-01   7.39630000E-02   3.05722000E-01 
  5.78215795E+01   3.32184939E+00   1.19736107E+02   5.65719811E-02   1.67873417E+00   4.58896891E+01   7.13158747E+01   2.22324000E+01   4.68387000E-01   1.10687200E+01 
  5.00579904E+00   3.56008419E+01   1.07993001E+02   3.58086239E-02   2.13855466E+00   9.75912717E+01   6.93269475E+01   5.90878000E-01   1.71110000E-02   5.76587000E-01 
  3.39385510E+01   3.66033781E+01   1.14284375E+02   2.24907457E-02   3.95969027E-01   7.41790971E+00   6.80844593E+01   1.75386500E+00   2.53344000E-01   3.87389000E+00 
  2.87723777E+01   4.38381526E+01   1.36501091E+02   4.55981675E-01   1.80406159E+00   5.82894943E+01   2.23680991E+01   2.99885900E+00   4.56830000E-02   2.09704200E+00 
  4.81759952E+01   3.29185332E+01   1.33835666E+02   1.26251794E-02   1.66561916E+00   8.51807297E+01   9.70279033E+01   3.03863000E-01   6.32500000E-03   7.03602000E-01 
  4.41104316E+01   6.80417521E+01   1.65795285E+01   1.41126523E-02   2.02680054E+00   8.03169356E+01   4.30577385E+01   7.54350400E+00   1.69261000E-01   2.47502400E+00 
  6.82542420E+01   5.01154014E+01   1.74479181E+02   7.21550601E-02   2.11569202E+00   9.09453388E+01   2.06155627E+01   4.67732700E+00   1.92209000E-01   2.28438800E+00 
  4.41503314E+01   4.16403270E+01   5.82528015E+01   8.49101215E-03   1.99980530E+00   9.90548750E+01   8.10659668E+01   4.47170300E+00   8.95580000E-02   8.86898000E-01 
  4.16229898E+01   3.97187740E+01   1.18244146E+02   1.27277084E-02   1.80196883E+00   5.88036762E+01   4.35428966E+01   3.93928600E+00   4.17450000E-02   8.15068000E-01 
  5.91663432E+01   1.60634704E+01   1.48277139E+02   1.25442504E-02  -2.13778135E-01   1.31984331E+00   4.46015281E+01   3.09457000E+00   1.40794000E-01   1.10140900E+00 
  2.08538302E+01   1.14417856E+01   1.38296576E+02   2.66613338E-01   3.28176888E-01   7.03835872E+00   5.05149738E+01   2.09550000E+00   3.75035000E-01   5.97974000E-01 
  4.03833995E+01   1.34242152E+01   8.36006038E+01   1.54237663E-03   1.64353600E+00   4.37310495E+01   7.13574444E+01   5.85727000E-01   4.34610000E-02   6.52913000E-01 
  3.06293372E+01   3.85814145E+01   6.12565582E+01   8.78430667E-02   5.92820375E-01   1.03262529E+01   6.39338038E+01   6.02666900E+00   8.48100000E-02   4.47600400E+00 
  3.46199649E+01   4.91343920E+01   6.48228508E+01   1.74763977E-01   1.91415819E+00   9.88506334E+01   8.58843125E+01   1.82546200E+01   8.34056000E-01   1.91804800E+00 
  5.12190571E+01   1.66848010E+01   2.88300661E+01   5.42014273E-03   1.79015089E+00   6.10683964E+01   8.05707718E+01   2.19842300E+00   6.83170000E-02   1.41199200E+00 
  1.59149736E-01   1.02791960E+01   1.38422502E+02   1.84092134E-02   1.86743802E+00   6.44151009E+01   3.55620918E+01   2.99917700E+00   9.56420000E-02   3.19067000E-01 
  5.53619434E+01   2.25405904E+01   8.27835381E+01   4.91290400E-03   1.46854844E+00   4.45935779E+01   9.76561323E+01   2.26898800E+00   7.36960000E-02   4.29033100E+00 
  6.07553238E+01   5.95919918E+01   4.97136042E+01   7.16496058E-03   2.17133404E+00   9.97610446E+01   3.24679044E+01   5.83352400E+00   1.26485000E-01   5.66072800E+00 
  6.99476453E+01   5.04120639E+01   1.23843682E+02   3.97031480E-03   1.89258008E+00   6.65827512E+01   3.13835318E+01   2.11378000E+00   8.06000000E-02   1.47553300E+00 
  1.95857843E+01   3.36916008E+01   2.69854309E+01   2.01334908E-02   7.20279274E-01   1.05372181E+01   9.35557174E+01   5.45367400E+00   2.20989000E-01   6.58274000E-01 
  1.36453002E+01   2.81064917E+01   1.01565518E+02   4.33477502E-01   1.70654189E+00   4.70358530E+01   7.34217658E+01   1.06412400E+00   7.87900000E-02   5.54833000E-01 
  2.01616141E+01   3.85109584E+00   6.70583334E+00   1.95918063E-03   1.77844722E+00   5.64237341E+01   5.35320533E+01   9.55992000E-01   8.17890000E-02   2.66407000E-01 
  6.11356357E+01   4.51260753E+01   1.74176576E+02   6.07262574E-03   1.90849343E+00   6.72682236E+01   7.39423325E+01   6.52210000E+00   2.54536000E-01   4.12665000E-01 
  4.86471532E+01   3.06665585E+01   8.11534207E+01   1.90344190E-02   1.72033822E+00   5.12605942E+01   2.45636269E+01   2.80624500E+00   1.42912000E-01   2.36005500E+00 
  6.36207797E+01   5.70794247E+01   1.43253392E+02   1.11726376E-02   1.24689686E+00   2.60563708E+01   6.40885362E+01   1.83027200E+01   4.64146000E-01   9.78115800E+01 
  1.48961323E+00   1.39333817E+01   1.72409075E+02   2.09291134E-03   1.00412867E+00   1.98276438E+01   3.16071950E+01   3.12366600E+00   1.10551000E-01   6.79711000E-01 
  5.67687536E+01   2.12843628E+01   6.75027699E+00   3.52632823E-01   1.80133269E+00   6.41944302E+01   8.14464151E+01   2.42332800E+00   2.24902000E-01   1.48325300E+00 
  4.18698690E+01   6.42990423E+01   1.33448555E+02   2.40822812E-02   1.31737782E+00   2.96017951E+01   9.80960412E+01   6.76553200E+00   1.14494000E-01   4.03890000E-01 
  2.68395069E+01   2.92494429E+01   9.35720367E+01   1.63450680E-03   1.96309737E+00   7.31449349E+01   7.18916404E+01   1.41936000E+00   1.02906000E-01   1.35533200E+00 
  2.92464864E+01   5.98212518E+01   8.88538295E+01   6.68206892E-03   1.54252574E+00   4.08945552E+01   2.62409855E+01   2.39645200E+00   1.95328000E-01   7.84179600E+00 
  3.28902089E+00   6.38922719E+01   2.85656351E-01   2.84117905E-03   1.77713420E+00   5.64676477E+01   3.83991478E+01   4.30163900E+00   3.60409000E-01   1.56431400E+00 
  6.94897362E+01   1.33662400E+01   1.45134813E+02   1.26194011E-03   2.02403566E+00   8.15254081E+01   7.33208264E+01   1.87040600E+00   5.89419000E-01   1.24282700E+00 
  5.01974100E+01   4.64655184E+01   1.78229604E+01   6.67480449E-02   1.86365020E+00   6.44532909E+01   4.59992615E+01   3.56890200E+00   1.18204000E-01   1.65228000E+00 
  4.34485948E+01   5.23581908E+00   1.02273813E+02   7.22228583E-02   1.75850636E+00   5.49555437E+01   4.12676927E+01   4.53118900E+00   1.17436000E-01   3.05491400E+00 
  2.81413178E+01   2.04452203E+01   1.27154441E+02   1.28882456E-03   1.48401590E+00   3.72618169E+01   5.63139114E+01   2.54097200E+00   1.23243000E+00   7.62044000E-01 
  4.22902514E+01   5.26362677E+01   2.97468609E+01   2.85605976E-03   1.56196687E+00   4.58859455E+01   8.89413651E+01   3.52802400E+00   1.63452000E-01   2.14554100E+00 
  6.48032258E+01   6.85124559E+01   6.26976596E+01   3.61458985E-01   1.41917740E+00   2.98540632E+01   7.45854597E+01   1.35996000E+00   5.24200000E-02   1.66977300E+00 
  4.07138250E+00   5.56891036E+00   2.55329833E+01   8.07609686E-03   1.65159711E+00   4.69051864E+01   2.55065466E+01   1.11774400E+01   1.84233000E-01   2.91609600E+01 
  3.16503977E+01   3.49501262E+01   1.11954514E+02   4.86332412E-03   1.67541717E+00   7.02700417E+01   9.32188599E+01   2.65199500E+01   4.30186000E-01   2.28099200E+01 
  1.67743926E+01   6.67012090E+00   1.43497613E+02   1.46686837E-01   1.91576585E+00   7.62981516E+01   7.94802564E+01   3.35602900E+00   9.60960000E-02   1.82000600E+00 
  2.95207545E+01   4.77914813E+01   1.15629769E+02   4.72087930E-01   1.12985666E+00   1.99268754E+01   9.85177999E+01   5.00506400E+00   1.69529000E-01   1.78781300E+00 
  4.18773658E+01   6.08922277E+01   3.35161325E+01   3.94597279E-01   2.13108556E+00   9.41299582E+01   3.48507069E+01   5.57894800E+00   1.56115000E+00   2.94094000E-01 
  3.54390625E+01   3.75439956E+01   5.67155658E+01   1.59147662E-03   1.62004200E+00   4.50789848E+01   2.33474794E+01   8.22607800E+00   8.16280000E-02   1.24751600E+01 
  1.27945757E+01   1.11972106E+01   1.11262816E+02   4.32777715E-02   2.12500861E+00   9.67343660E+01   7.10671153E+01   2.71237400E+00   1.74613000E-01   6.64840000E-01 
  6.87210880E+01   1.05232761E+01   1.21650792E+02   1.12463820E-02   2.06298250E+00   8.39427093E+01   2.37190657E+01   2.72602800E+00   2.31039000E-01   1.82879000E-01 
  2.80866830E+01   5.83114864E+01   1.50254045E+02   3.49648532E-01   1.43551529E+00   3.33440633E+01   6.66213519E+01   2.41052000E+01   4.00344000E-01   5.22979000E+00 
  2.12686243E+01   4.49966283E+01   6.41832084E+01   3.11568720E-02   1.74659941E+00   4.98338872E+01   7.59237365E+01   4.80632400E+00   2.24228000E-01   8.03480000E-02 
  9.26018214E+00   2.94807397E+01   5.92248696E+01   4.10565207E-01   1.86466075E+00   6.21987142E+01   7.35489842E+01   6.17335000E-01   6.57010000E-02   9.02400000E-02 
  5.37212969E+01   4.10364906E+01   1.40743640E+02   2.15933475E-03   1.70383601E+00   5.02544167E+01   3.72389424E+01   6.23672000E-01   3.54580000E-02   1.41025100E+00 
  4.83531105E+01   5.42848609E+01   1.08608107E+01   3.15741589E-02   1.73511781E+00   5.23727441E+01   2.06563041E+01   6.91020000E-01   1.48960000E-02   2.47943000E-01 
  4.65358992E+01   4.11873456E+01   4.94572166E+01   3.08946602E-03   7.73882910E-02   3.91960528E+00   7.16694641E+01   9.84338000E-01   5.46380000E-02   4.20773000E-01 
  5.46278620E+01   2.40417431E+01   3.45140302E+00   3.74536539E-03   1.18921918E+00   2.54656349E+01   2.43076699E+01   1.54265800E+00   1.06223000E-01   1.20049800E+00 
  5.87459486E+01   3.74143759E+01   1.68179704E+02   2.26330078E-02   2.06185704E+00   8.48410581E+01   3.99548836E+01   4.81936000E+00   1.29256000E-01   3.16404900E+00 
  4.75211937E+01   4.90306457E+01   3.93432785E+01   6.68766511E-02   1.40369230E+00   3.38655107E+01   2.84159321E+01   7.00503000E-01   2.44080000E-01   3.01381000E-01 
  8.05636101E+00   1.76527455E+01   1.60642195E+02   3.76527665E-01   1.88820262E+00   9.24027572E+01   8.59904001E+01   1.55237000E+00   2.36319000E-01   8.38476000E-01 
  2.64028036E+01   5.25819358E+01   1.58732701E+02   6.32876379E-02   1.35614824E+00   3.18290257E+01   4.85343335E+01   8.03309300E+00   1.68249400E+00   1.67465900E+00 
  1.15228135E+01   4.56027260E+01   4.35525517E+01   1.42637925E-02   1.92331223E+00   6.93599109E+01   2.84894791E+01   2.00774400E+01   1.51870000E+00   9.73363000E-01 
  4.73306859E+00   4.15162383E+01   6.64124826E+01   2.56473513E-01   1.34111862E+00   3.10982350E+01   4.67354271E+01   1.62552300E+01   7.52391000E-01   2.56556000E-01 
  3.83482319E+01   5.79687130E+00   1.25106225E+02   9.22651543E-03   9.11300101E-01   1.77439796E+01   3.77549156E+01   2.49575800E+00   3.75520000E-02   3.54058000E-01 
  4.85740570E+01   3.16225260E+01   1.09872216E+02   3.02011355E-02   2.90455521E-01   5.54819661E+00   8.30827836E+01   4.91653300E+00   4.27712000E-01   7.72482000E-01 
  6.44200648E+01   4.46867664E+01   5.96147906E+01   2.12055117E-03   1.89296037E+00   6.57108364E+01   6.51506870E+01   2.65489400E+01   1.01084300E+00   3.88282600E+00 
  3.67608511E+01   1.60101842E+01   4.16260247E+01   3.42025548E-01   1.72453559E+00   7.11755513E+01   9.03982581E+01   6.10626800E+00   4.31853000E-01   1.05759900E+00 
  6.35348478E+01   1.25421019E+01   8.42684832E+01   7.77690772E-03   2.08953963E+00   8.94258961E+01   5.91360581E+01   1.04685900E+00   1.31676000E-01   7.77132000E-01 
  4.30924291E+01   5.01189439E+01   5.77749992E+01   3.18461267E-01   1.74759449E+00   5.26553762E+01   5.98183149E+01   4.23748000E-01   4.75940000E-02   8.90681200E+00 
  2.90085643E+01   4.38617964E+01   1.19016110E+02   1.44088576E-03   1.20049292E+00   2.34923078E+01   7.09108212E+01   1.59738000E+01   2.93574900E+00   1.47520000E+01 
  5.22906015E+01   1.12123147E+01   1.66665415E+02   1.80322803E-01   1.86654197E+00   6.42853804E+01   3.42724701E+01   5.28727800E+00   1.30393000E-01   1.03851700E+01 
  6.80162427E+01   5.32784340E+01   1.58983440E+02   2.20217211E-03   1.26726840E+00   2.47665224E+01   8.02901176E+01   1.64998900E+00   3.97310000E-02   1.49455800E+00 
  5.28723394E+00   2.67029249E+01   3.24149078E+00   3.46774282E-02   2.11056974E-01   5.39053868E+00   5.34172500E+01   8.54616000E-01   5.64090000E-02   3.35805000E+00 
  5.08941324E+01   4.05815574E+01   5.32321018E+01   6.94616947E-02   2.10990399E+00   9.06615435E+01   2.81077039E+01   3.49188100E+01   7.76319000E-01   1.15749400E+01 
  3.55258113E+01   3.14805581E+01   9.79283324E+00   7.00348731E-03   1.79315072E+00   5.47997091E+01   7.15999217E+01   3.35788200E+00   2.22758000E-01   2.42872700E+00 
  2.92177365E+01   5.51392105E+01   4.14652402E+01   2.24682836E-03   2.16862451E+00   9.92326083E+01   3.07619635E+01   5.70345700E+00   2.00808000E-01   6.70195000E+00 
  4.18795718E+01   2.09136290E+01   6.40854145E-01   9.72429821E-02   1.83102948E+00   5.88139613E+01   7.03982830E+01   1.38257800E+00   5.67700000E-02   1.88223000E-01 
  5.79482177E+01   1.63078853E+01   1.36161734E+01   8.71775849E-02   1.10876875E+00   1.96765160E+01   8.32284012E+01   1.31455400E+01   6.09616000E-01   5.71238200E+00 
  3.06051204E+01   6.67744197E+01   1.57853738E+02   1.14512770E-03   1.78525397E+00   5.74781523E+01   4.78776290E+01   1.39963400E+00   7.27910000E-02   8.77960000E-01 
  3.98045498E+01   1.29940513E+01   1.42709570E+02   4.48660772E-03   1.71179281E+00   5.12504032E+01   4.92968463E+01   1.76298200E+00   1.25123000E-01   1.62360300E+00 
  3.00562169E+01   2.66230329E+01   7.91741996E+01   3.15587776E-01   1.79175609E+00   5.73198299E+01   2.54355396E+01   9.61344500E+00   1.58094000E-01   1.67672700E+00 
  2.93065404E+01   4.33121887E+01   5.89674846E+01   5.08581127E-03   2.05118978E+00   8.25062266E+01   2.59868930E+01   4.25001000E-01   8.66010000E-02   6.09580000E-02 
  3.10836096E+01   4.45024821E+01   2.10309964E+01   1.12022662E-01   1.97588761E+00   7.50420977E+01   4.20867696E+01   2.63140300E+00   2.67825000E-01   2.94290600E+00 
  1.56361467E+01   5.77820402E+00   1.51164949E+02   4.93289115E-02   1.04687348E+00   2.10514909E+01   2.55475397E+01   3.87957100E+00   1.90697000E-01   4.18479700E+00 
  5.79736035E+00   1.03258610E+01   4.72765526E+01   2.54689388E-01   1.89531336E+00   6.72699025E+01   5.28971545E+01   5.11888600E+00   1.17649000E-01   1.44440900E+01 
  5.23037139E+01   3.69438540E+01   2.57404578E+00   1.21018096E-02   1.66532630E+00   4.77703316E+01   5.29422304E+01   4.28803200E+00   1.02404000E-01   3.29623300E+00 
  4.74950454E+01   6.98926204E+01   1.10070952E+02   5.99245861E-02   1.21450082E+00   2.27738603E+01   8.00810911E+01   9.77787400E+00   3.15212000E-01   2.55947200E+00 
  5.55915603E+01   5.83793538E+01   1.92302263E+01   1.86069701E-01   8.42486555E-01   1.60646605E+01   5.18313251E+01   3.96822000E-01   5.95800000E-03   2.85447000E-01 
  6.48461369E+01   6.30294289E+01   9.36617998E+01   9.19385072E-02   1.66019146E+00   4.86665035E+01   8.27910485E+01   1.79289500E+00   4.02820000E-02   2.43646000E-01 
  2.85973294E+01   2.68012228E+01   1.25643592E+02   5.62293344E-03   4.59693258E-01   8.83404209E+00   3.08759681E+01   1.68117900E+00   1.91515000E-01   6.00456400E+00 
  1.86793326E+00   5.79416820E+00   1.67743107E+02   1.33581231E-02   1.76168575E+00   5.32849348E+01   6.35393734E+01   3.13125900E+00   2.63919000E-01   2.53552100E+00 
  2.25452941E+01   4.11628076E+01   4.76718777E+00   1.02415818E-01   3.35604653E-01   6.00000844E+00   8.92847648E+01   1.32708900E+01   1.15914000E+00   9.48961000E-01 
  4.23773986E+01   2.84749718E+01   1.64578284E+02   1.65274581E-02   1.67571740E+00   4.76961275E+01   5.81109251E+01   1.17644300E+01   3.35042000E-01   1.82062900E+00 
  2.79772669E+01   2.30537613E+01   1.51847186E+01   1.04588977E-01   4.22647535E-01   8.22445808E+00   5.49073276E+01   1.19414400E+00   7.92310000E-02   1.01945000E-01 
  1.97598764E+01   6.02951809E+01   1.27411684E+02   3.73470230E-03   1.10562389E+00   2.28395593E+01   5.17462600E+01   3.13184000E-01   2.68050000E-02   3.64478000E-01 
  4.69684841E+01   1.83915231E+01   3.04530465E+01   2.37248212E-02   1.98808427E+00   7.59895222E+01   6.03206724E+01   2.26533200E+01   1.81058000E-01   3.17758600E+01 
