R_toa(412)  R_toa(443)  R_toa(490)  R_toa(510)  R_toa(555)  R_toa(670)  R_toa(765)  R_toa(865)  
  3.64766293E-02   2.91519697E-02   2.18920464E-02   1.98376819E-02   1.59502189E-02   8.05289637E-03   4.34873094E-03   4.14756080E-03 
  5.08522826E-02   4.06157220E-02   3.04835982E-02   2.72678488E-02   2.12035547E-02   8.48346322E-03   3.64126725E-03   3.35699830E-03 
  4.63293348E-02   3.83665730E-02   3.30354368E-02   3.14298056E-02   3.26289104E-02   1.13145499E-02   3.93236678E-03   3.33529521E-03 
  5.67822977E-02   4.77914753E-02   3.79425467E-02   3.42741986E-02   2.65084515E-02   1.59594086E-02   1.00147108E-02   9.87491245E-03 
  4.23504950E-02   3.26746965E-02   2.31710508E-02   2.07730227E-02   1.84987588E-02   9.88210448E-03   3.48257158E-03   2.98594504E-03 
  2.93320738E-02   2.57793887E-02   2.42448509E-02   2.45121700E-02   2.54776002E-02   1.44443646E-02   3.33674640E-03   2.92693634E-03 
  7.16562212E-02   6.08615459E-02   4.77412064E-02   4.28454882E-02   3.33674778E-02   2.19949639E-02   1.30163291E-02   1.31369961E-02 
  4.17649637E-02   3.41243602E-02   2.63018699E-02   2.37118834E-02   1.84510934E-02   1.18440549E-02   8.26289929E-03   9.33444475E-03 
  3.05184944E-02   2.54649979E-02   2.15149659E-02   2.06518432E-02   2.17778908E-02   1.12924342E-02   3.83397731E-03   3.56808916E-03 
  4.87579527E-02   3.96522839E-02   2.96646503E-02   2.60014038E-02   1.84082820E-02   8.57963438E-03   4.47472017E-03   3.99909981E-03 
  4.14680180E-02   3.35293832E-02   2.71237342E-02   2.58936203E-02   2.31327688E-02   9.17549485E-03   3.59818976E-03   3.19363599E-03 
  8.41304529E-02   7.47401312E-02   6.38448451E-02   5.97584129E-02   5.10316795E-02   3.52499012E-02   2.21697729E-02   2.31965431E-02 
  4.27033344E-02   3.46837713E-02   2.51846969E-02   2.15729501E-02   1.46061794E-02   6.31918686E-03   3.03658458E-03   2.68444306E-03 
  6.61130371E-02   5.63892505E-02   4.56587026E-02   4.19769492E-02   3.54689967E-02   1.81762447E-02   7.93011161E-03   8.03641300E-03 
  5.16136318E-02   4.37912480E-02   3.39658020E-02   3.05119222E-02   2.39104155E-02   1.38123071E-02   6.79136803E-03   7.41627117E-03 
  3.45772250E-02   2.74810229E-02   2.09992030E-02   1.91431062E-02   1.54787649E-02   6.01620587E-03   2.61983710E-03   2.34229947E-03 
  4.30543856E-02   3.43533100E-02   2.59076264E-02   2.32851344E-02   1.79693280E-02   7.29545429E-03   3.37331160E-03   2.99741171E-03 
  2.96737054E-02   2.35793229E-02   1.74758701E-02   1.57073298E-02   1.21830262E-02   5.12709424E-03   2.31551739E-03   2.09948974E-03 
  4.91516767E-02   4.14216068E-02   3.36820402E-02   3.13756946E-02   2.72222207E-02   1.99080147E-02   1.43833683E-02   1.61345113E-02 
  3.34265732E-02   2.67040557E-02   1.98180429E-02   1.74180282E-02   1.21757762E-02   4.92986719E-03   2.31431754E-03   1.96544399E-03 
  4.16715193E-02   3.51604701E-02   3.08221980E-02   2.99221596E-02   2.86474375E-02   1.13588262E-02   4.73822143E-03   4.64178445E-03 
  5.65057263E-02   4.82226660E-02   3.93711467E-02   3.65929856E-02   3.30761346E-02   2.12661190E-02   1.14467556E-02   1.15663340E-02 
  2.82391074E-02   2.27689332E-02   1.79112251E-02   1.64796120E-02   1.29311703E-02   4.78453525E-03   2.03476255E-03   1.78457296E-03 
  4.15852783E-02   3.30014131E-02   2.45579208E-02   2.20573489E-02   1.69462887E-02   7.58371315E-03   3.87733626E-03   3.40357453E-03 
  3.01287505E-02   2.51474076E-02   2.14183223E-02   2.05446484E-02   1.79418408E-02   6.37035180E-03   2.22838395E-03   1.94937369E-03 
  4.60957371E-02   3.89302317E-02   3.18878635E-02   2.97469543E-02   2.60152292E-02   1.19915687E-02   4.35906817E-03   4.24685527E-03 
  3.73055367E-02   3.07765159E-02   2.30142498E-02   2.03530022E-02   1.49168038E-02   6.99248850E-03   3.05439105E-03   3.00807405E-03 
  3.63388294E-02   2.84740048E-02   2.12524124E-02   1.93823880E-02   1.62428971E-02   6.72371047E-03   3.12584344E-03   2.79285740E-03 
  7.09125514E-02   6.18212261E-02   5.12758273E-02   4.74806394E-02   3.93815725E-02   2.76851665E-02   1.82427639E-02   1.85015243E-02 
  3.69864387E-02   2.89763936E-02   2.08390364E-02   1.83054650E-02   1.30713242E-02   5.60599208E-03   2.74482990E-03   2.29972864E-03 
  4.55962509E-02   3.65108659E-02   2.62678332E-02   2.30781439E-02   1.74485382E-02   8.27725030E-03   3.84798169E-03   3.55043890E-03 
  3.33931234E-02   2.70814247E-02   2.16576535E-02   2.02965594E-02   1.71992463E-02   6.75794860E-03   2.84083863E-03   2.55743930E-03 
  5.44720285E-02   4.65055777E-02   3.88195357E-02   3.69094422E-02   3.53761598E-02   3.24286914E-02   9.58323455E-03   8.76948104E-03 
  3.99273462E-02   3.15635193E-02   2.36863435E-02   2.14702993E-02   1.68269319E-02   6.70679724E-03   3.10883477E-03   2.60789872E-03 
  4.79845220E-02   4.36821008E-02   3.85703125E-02   3.65832488E-02   3.21446027E-02   2.43077130E-02   1.51014977E-02   1.60240270E-02 
  6.44834452E-02   5.20031676E-02   3.80953962E-02   3.36143116E-02   2.56041212E-02   1.19446568E-02   5.51516459E-03   5.33803554E-03 
  3.85801584E-02   3.08746953E-02   2.39429065E-02   2.19738789E-02   1.70623189E-02   6.45542040E-03   2.83164769E-03   2.38409464E-03 
  5.15947519E-02   4.30485507E-02   3.68176772E-02   3.58313160E-02   3.37548814E-02   1.41431830E-02   4.27393522E-03   3.81088641E-03 
  5.33281777E-02   4.21114847E-02   3.08008810E-02   2.77261908E-02   2.25581838E-02   9.80042423E-03   4.09400173E-03   3.72362726E-03 
  2.35415519E-02   1.87401377E-02   1.33055368E-02   1.16451545E-02   8.71030644E-03   4.23566670E-03   1.85886031E-03   1.74788204E-03 
  4.80514439E-02   4.19344508E-02   3.55177806E-02   3.32439624E-02   2.82169161E-02   1.60800312E-02   8.44737275E-03   8.56986286E-03 
  3.75767444E-02   3.12612620E-02   2.59889988E-02   2.46474933E-02   2.19641188E-02   9.46608390E-03   4.42713285E-03   4.13732397E-03 
  3.72587393E-02   2.84810237E-02   1.95039361E-02   1.70067439E-02   1.29215987E-02   6.33413600E-03   2.93236494E-03   2.46261897E-03 
  3.91276073E-02   3.14253084E-02   2.47676389E-02   2.31173737E-02   1.97264997E-02   7.44978190E-03   2.86928157E-03   2.57403904E-03 
  8.05955758E-02   7.83541752E-02   7.37799248E-02   7.05879976E-02   6.24901986E-02   5.78361906E-02   3.41449146E-02   4.67034496E-02 
  4.53565911E-02   4.02608275E-02   3.99528068E-02   4.15789590E-02   4.89855657E-02   3.05336148E-02   7.26026963E-03   5.77871725E-03 
  4.28235238E-02   3.62089202E-02   3.31389960E-02   3.32025226E-02   3.92876939E-02   2.25855616E-02   5.38428419E-03   4.21730731E-03 
  5.13033079E-02   4.33592497E-02   3.60341341E-02   3.38638606E-02   2.88833673E-02   1.48180165E-02   8.33325979E-03   7.79976680E-03 
  6.65087661E-02   5.68790053E-02   4.68933462E-02   4.36601558E-02   3.76534103E-02   2.37735371E-02   1.46368099E-02   1.61158198E-02 
  1.01116682E-01   9.75574015E-02   9.12084863E-02   8.74239353E-02   7.87010244E-02   6.94162004E-02   4.35320208E-02   4.73549166E-02 
  3.81055166E-02   3.30116889E-02   3.14599540E-02   3.19318240E-02   3.48667388E-02   1.49330542E-02   3.42637722E-03   2.77554618E-03 
  4.33723783E-02   3.48194016E-02   2.63704231E-02   2.39518750E-02   1.90695197E-02   9.07492674E-03   4.71204962E-03   4.13576764E-03 
  2.35594420E-02   1.88477760E-02   1.34890655E-02   1.17890202E-02   8.62785002E-03   4.32876281E-03   2.02925909E-03   1.96670769E-03 
  8.34716529E-02   7.22522210E-02   5.99177222E-02   5.57398587E-02   5.08263624E-02   3.33492197E-02   1.88180058E-02   2.08133074E-02 
  4.16674130E-02   3.26661481E-02   2.36522632E-02   2.10865536E-02   1.65439490E-02   7.80576409E-03   3.88867454E-03   3.54758319E-03 
  7.21626937E-02   6.30138880E-02   5.18425174E-02   4.77156660E-02   3.93838775E-02   2.83201700E-02   1.84819172E-02   1.83011414E-02 
  4.36157194E-02   3.56249870E-02   2.71264720E-02   2.41031900E-02   1.72753260E-02   7.14403426E-03   3.23772080E-03   2.86486109E-03 
  4.97047936E-02   4.15829789E-02   3.19029901E-02   2.82730270E-02   2.10599085E-02   1.24935422E-02   6.76757050E-03   7.02764492E-03 
  3.24820048E-02   2.54554740E-02   1.83551919E-02   1.60673841E-02   1.12590199E-02   4.67526380E-03   2.14736723E-03   1.90638104E-03 
  2.66787172E-02   2.12499211E-02   1.62519764E-02   1.48102707E-02   1.13913299E-02   4.40479887E-03   1.88902494E-03   1.68455213E-03 
  4.34645249E-02   3.56553125E-02   2.77835437E-02   2.54635693E-02   2.11279462E-02   9.32528966E-03   4.08243860E-03   3.82952418E-03 
  4.29731770E-02   3.53578498E-02   2.68739967E-02   2.40825778E-02   1.86893926E-02   1.13618468E-02   6.24372396E-03   6.40586971E-03 
  6.51218978E-02   5.57600217E-02   4.56184063E-02   4.23402431E-02   3.55911466E-02   2.39094599E-02   1.52827527E-02   1.49984242E-02 
  5.72117870E-02   4.52834070E-02   3.24615425E-02   2.86996616E-02   2.28100098E-02   1.32143640E-02   6.59790362E-03   6.51384329E-03 
  4.11288662E-02   3.17947124E-02   2.25524858E-02   2.01018995E-02   1.74102140E-02   9.06329055E-03   3.73740191E-03   3.26547878E-03 
  5.81857614E-02   4.84516064E-02   3.81336840E-02   3.49588077E-02   3.04342112E-02   1.93844810E-02   1.15154352E-02   1.17559010E-02 
  3.49546387E-02   2.75127926E-02   2.01969067E-02   1.79097124E-02   1.31296171E-02   5.42138289E-03   2.61318306E-03   2.26342408E-03 
  3.45709800E-02   2.68960245E-02   1.91778575E-02   1.70769881E-02   1.36458307E-02   6.21712978E-03   2.88700586E-03   2.64174011E-03 
  2.99743791E-02   2.38781935E-02   1.77108889E-02   1.60138662E-02   1.47206119E-02   7.39927964E-03   2.51612969E-03   2.33806104E-03 
  5.10715024E-02   4.39845940E-02   3.64385767E-02   3.39940050E-02   2.98336930E-02   2.00953857E-02   1.24483979E-02   1.25513691E-02 
