rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  5.77491423E-03   5.59497566E-03   5.21979381E-03   5.03732531E-03   4.64852428E-03   3.78595614E-03   3.22586197E-03   2.80045449E-03 
  4.94878981E-04   5.36104479E-04   5.51490974E-04   5.45566920E-04   5.19192658E-04   4.17227168E-04   3.34832717E-04   2.64470264E-04 
  1.04605331E-03   1.01231163E-03   9.33241124E-04   8.97538964E-04   8.17990774E-04   6.41085375E-04   5.25289558E-04   4.35614937E-04 
  1.46248256E-02   1.44016906E-02   1.37365797E-02   1.33584117E-02   1.25208036E-02   1.04061697E-02   8.91421931E-03   7.66921939E-03 
  8.92682236E-05   8.94282435E-05   8.54916284E-05   8.27265908E-05   7.69815682E-05   6.29683126E-05   5.42613230E-05   4.83666220E-05 
  2.28248178E-03   2.29936911E-03   2.21689161E-03   2.15660020E-03   2.01112119E-03   1.63807858E-03   1.37794508E-03   1.18752975E-03 
  2.33881281E-02   2.34344125E-02   2.25677361E-02   2.19401687E-02   2.04027804E-02   1.63090400E-02   1.32564039E-02   1.07396564E-02 
  6.32406228E-03   6.53476758E-03   6.80469483E-03   6.84350351E-03   7.02437366E-03   7.38308386E-03   7.64508798E-03   7.90563332E-03 
  6.12558905E-03   6.08483519E-03   5.73790062E-03   5.55169858E-03   5.10646893E-03   4.04342211E-03   3.31285262E-03   2.73457494E-03 
  4.12673934E-03   3.96082519E-03   3.61310577E-03   3.45982935E-03   3.12516060E-03   2.39350789E-03   1.90817483E-03   1.52569636E-03 
  7.71938766E-04   7.63294335E-04   7.35640760E-04   7.29808751E-04   7.05600915E-04   6.72917434E-04   6.52046470E-04   6.37751239E-04 
  4.25214314E-02   4.30707165E-02   4.20721433E-02   4.11864383E-02   3.89643159E-02   3.26425400E-02   2.76439929E-02   2.34886121E-02 
  9.55326000E-04   9.05270853E-04   8.12439466E-04   7.70017397E-04   6.88328930E-04   5.32272735E-04   4.42152563E-04   3.84059209E-04 
  8.85933472E-03   1.03857828E-02   1.15634289E-02   1.16379423E-02   1.13501979E-02   9.10594780E-03   6.97786742E-03   5.14423213E-03 
  1.61136090E-02   1.73007545E-02   1.77932222E-02   1.76258139E-02   1.69772222E-02   1.44682799E-02   1.22542450E-02   1.03511822E-02 
  1.40426685E-03   1.40191433E-03   1.33332273E-03   1.29176409E-03   1.18048776E-03   9.04276124E-04   7.12828313E-04   5.60757650E-04 
  1.53601077E-03   1.45837834E-03   1.31415420E-03   1.25177675E-03   1.12075337E-03   8.60912454E-04   7.05395905E-04   5.94440923E-04 
  3.19644549E-04   3.28917445E-04   3.33827610E-04   3.33353425E-04   3.33753319E-04   3.27825016E-04   3.30018628E-04   3.40180372E-04 
  1.25366943E-02   1.34771161E-02   1.44963440E-02   1.47017051E-02   1.52304669E-02   1.53063989E-02   1.51075979E-02   1.49183143E-02 
  1.27178460E-04   1.23769721E-04   1.14468039E-04   1.10210673E-04   1.00597745E-04   7.93089603E-05   6.55735921E-05   5.51394032E-05 
  4.17961383E-03   4.16747437E-03   4.02342150E-03   3.93102928E-03   3.73009840E-03   3.24439375E-03   2.93910242E-03   2.72815651E-03 
  2.32306337E-02   2.36865398E-02   2.32478392E-02   2.27778015E-02   2.13810729E-02   1.73379801E-02   1.40832348E-02   1.13436071E-02 
  6.52073038E-04   6.50735549E-04   6.19865328E-04   6.00623777E-04   5.50588722E-04   4.27076518E-04   3.42783929E-04   2.76028249E-04 
  2.17220725E-03   2.12129805E-03   1.97392487E-03   1.90311802E-03   1.73647765E-03   1.37586749E-03   1.15216555E-03   9.83709501E-04 
  3.46249413E-04   3.40080877E-04   3.19721717E-04   3.08327672E-04   2.84462152E-04   2.31417298E-04   1.96173455E-04   1.70466309E-04 
  4.56800215E-03   5.16445169E-03   5.52317755E-03   5.49637567E-03   5.25848106E-03   4.11925261E-03   3.11552670E-03   2.27779218E-03 
  1.08278176E-03   1.16493069E-03   1.17303831E-03   1.14539986E-03   1.06049638E-03   8.15100165E-04   6.46465338E-04   5.26906311E-04 
  1.04175072E-03   1.06861516E-03   1.05893531E-03   1.03847603E-03   9.86719611E-04   8.48982296E-04   7.57061586E-04   6.91261349E-04 
  3.22873648E-02   3.20042562E-02   3.05276367E-02   2.97468864E-02   2.78915149E-02   2.31947383E-02   1.97762496E-02   1.68223759E-02 
  2.04643060E-04   1.99561409E-04   1.85806520E-04   1.78629052E-04   1.62967945E-04   1.29055188E-04   1.08062955E-04   9.23447865E-05 
  1.29453729E-03   1.30679867E-03   1.22986477E-03   1.18288972E-03   1.06948971E-03   8.13607587E-04   6.64667179E-04   5.60497103E-04 
  2.46915205E-03   2.41358780E-03   2.23675376E-03   2.14560918E-03   1.94065093E-03   1.47460763E-03   1.16934505E-03   9.46508566E-04 
  2.04756501E-03   2.16784505E-03   2.15640460E-03   2.10899275E-03   1.97397216E-03   1.63555609E-03   1.41740149E-03   1.27496901E-03 
  1.55455875E-04   1.62193249E-04   1.65417130E-04   1.65734064E-04   1.63868339E-04   1.53920615E-04   1.45822794E-04   1.39453198E-04 
  4.20876091E-02   4.45821410E-02   4.60221472E-02   4.59364131E-02   4.47664269E-02   3.89079694E-02   3.29966571E-02   2.70696640E-02 
  2.48231412E-03   2.54449361E-03   2.45512504E-03   2.37265423E-03   2.17031535E-03   1.68433663E-03   1.40679777E-03   1.24659340E-03 
  1.59765564E-04   1.54148868E-04   1.41259117E-04   1.35578153E-04   1.22935987E-04   9.52364196E-05   7.72901623E-05   6.34809058E-05 
  8.89279492E-04   8.92565250E-04   8.46613031E-04   8.17468233E-04   7.46544722E-04   5.78088513E-04   4.66274174E-04   3.87311246E-04 
  4.27282955E-04   4.42055101E-04   4.35096401E-04   4.24497197E-04   3.94970741E-04   3.10914715E-04   2.49049296E-04   2.00947710E-04 
  2.14127910E-04   2.27157077E-04   2.27743951E-04   2.23496301E-04   2.09946706E-04   1.67949011E-04   1.36725331E-04   1.11173259E-04 
  2.16057326E-02   2.30673159E-02   2.34363790E-02   2.30295507E-02   2.16601014E-02   1.68246668E-02   1.31526355E-02   1.02200691E-02 
  7.07018292E-03   6.83051195E-03   6.31900997E-03   6.07592661E-03   5.53737774E-03   4.34645904E-03   3.55666987E-03   2.94627721E-03 
  9.34936091E-05   9.32288669E-05   9.06296179E-05   8.87361758E-05   8.47773466E-05   7.39197583E-05   6.59775375E-05   5.90409257E-05 
  5.84551436E-04   6.24774852E-04   6.34799466E-04   6.23580562E-04   5.86839220E-04   4.66192518E-04   3.73923839E-04   2.99976523E-04 
  6.66593899E-02   8.32944932E-02   1.03313236E-01   1.09144932E-01   1.18767963E-01   1.23926353E-01   1.16597727E-01   1.03568837E-01 
