t(412)  t(443)  t(490)  t(510)  t(555)  t(670)  t(765)  t(865)  
  8.38618876E-01   8.76275697E-01   9.15797154E-01   9.26659530E-01   9.44697599E-01   9.65486486E-01   9.73026896E-01   9.77545000E-01 
  7.28298711E-01   7.77848869E-01   8.36530062E-01   8.55137754E-01   8.90065829E-01   9.44446663E-01   9.67319831E-01   9.75402746E-01 
  8.21828176E-01   8.59025092E-01   8.99128661E-01   9.11045080E-01   9.32471668E-01   9.65211259E-01   9.78574201E-01   9.83667478E-01 
  7.71721401E-01   8.11674037E-01   8.56176334E-01   8.69234223E-01   8.91663143E-01   9.20759717E-01   9.38887723E-01   9.50306184E-01 
  7.97603344E-01   8.39564915E-01   8.85691668E-01   8.99435720E-01   9.24513536E-01   9.62291026E-01   9.78078281E-01   9.83621150E-01 
  8.81852141E-01   9.06330621E-01   9.31916328E-01   9.39391160E-01   9.53358132E-01   9.77172111E-01   9.87769811E-01   9.90618115E-01 
  6.13276259E-01   6.53093534E-01   7.02829634E-01   7.20600331E-01   7.57224558E-01   8.27790334E-01   8.67056695E-01   8.92195295E-01 
  8.20549773E-01   8.58515398E-01   8.99023967E-01   9.10370092E-01   9.28564107E-01   9.50113238E-01   9.59564270E-01   9.64029343E-01 
  8.77118760E-01   9.04147806E-01   9.30154154E-01   9.37436115E-01   9.49349145E-01   9.74960676E-01   9.84497245E-01   9.87004167E-01 
  8.03276516E-01   8.42607910E-01   8.85268628E-01   8.97745612E-01   9.20181704E-01   9.52864019E-01   9.68048171E-01   9.75175980E-01 
  8.35568810E-01   8.71923913E-01   9.09680893E-01   9.20485384E-01   9.40058177E-01   9.69019425E-01   9.79933968E-01   9.84160015E-01 
  5.26443734E-01   5.67912365E-01   6.21033789E-01   6.39998032E-01   6.78848531E-01   7.53999702E-01   7.98998159E-01   8.33814151E-01 
  8.38212911E-01   8.75584222E-01   9.14400950E-01   9.25407064E-01   9.44684236E-01   9.70629371E-01   9.81662159E-01   9.86037228E-01 
  6.42612861E-01   6.98945312E-01   7.70469009E-01   7.93865622E-01   8.38584280E-01   9.05896065E-01   9.40012691E-01   9.54490339E-01 
  7.13678124E-01   7.61453018E-01   8.15966409E-01   8.32495806E-01   8.62959435E-01   9.08081455E-01   9.28014626E-01   9.43324178E-01 
  8.22777616E-01   8.59543996E-01   8.99553093E-01   9.11479732E-01   9.33332731E-01   9.65854200E-01   9.78681287E-01   9.83710655E-01 
  8.21808783E-01   8.60712282E-01   9.01960022E-01   9.13846235E-01   9.35194382E-01   9.65330815E-01   9.77665170E-01   9.82838272E-01 
  8.71924704E-01   9.04008401E-01   9.35488595E-01   9.44011136E-01   9.58959324E-01   9.79862528E-01   9.88156223E-01   9.91201700E-01 
  8.07222132E-01   8.46061189E-01   8.89419628E-01   9.02447551E-01   9.23661513E-01   9.44658222E-01   9.55187124E-01   9.60644569E-01 
  8.63839643E-01   8.97115549E-01   9.30587921E-01   9.39881665E-01   9.56159591E-01   9.78330850E-01   9.87346412E-01   9.90598176E-01 
  8.14108051E-01   8.49771782E-01   8.88264121E-01   8.99729164E-01   9.20606376E-01   9.53556481E-01   9.66350190E-01   9.71390637E-01 
  6.95801014E-01   7.33463629E-01   7.77132718E-01   7.91523255E-01   8.19805832E-01   8.74426356E-01   9.06487760E-01   9.23914566E-01 
  8.72329637E-01   9.01602581E-01   9.31568095E-01   9.40180004E-01   9.55938438E-01   9.78683187E-01   9.87228364E-01   9.90339872E-01 
  8.37939707E-01   8.75754005E-01   9.16055189E-01   9.27222831E-01   9.45973071E-01   9.67931118E-01   9.78119857E-01   9.83107909E-01 
  8.70131516E-01   8.98867180E-01   9.28736808E-01   9.37460811E-01   9.53632248E-01   9.78313428E-01   9.87083795E-01   9.90219913E-01 
  7.23900958E-01   7.76044740E-01   8.36829778E-01   8.55661508E-01   8.89975081E-01   9.40004737E-01   9.63108236E-01   9.72294874E-01 
  7.98085779E-01   8.42431471E-01   8.89542182E-01   9.03204510E-01   9.28014470E-01   9.63964135E-01   9.78272660E-01   9.83654276E-01 
  8.37920667E-01   8.73723833E-01   9.11748775E-01   9.22693462E-01   9.42253161E-01   9.70206322E-01   9.80995120E-01   9.85126729E-01 
  6.41084037E-01   6.87442610E-01   7.43798416E-01   7.61592734E-01   7.94242503E-01   8.44047291E-01   8.75373808E-01   8.97460089E-01 
  8.47442091E-01   8.84440682E-01   9.23119779E-01   9.33780059E-01   9.51628617E-01   9.74996053E-01   9.85008027E-01   9.88814103E-01 
  8.00785100E-01   8.47089890E-01   8.96654142E-01   9.10478172E-01   9.34319528E-01   9.64940532E-01   9.77840119E-01   9.83248523E-01 
  8.46364519E-01   8.79597988E-01   9.14068705E-01   9.24031670E-01   9.42316647E-01   9.70098922E-01   9.80023885E-01   9.84736223E-01 
  7.67477591E-01   8.14695036E-01   8.66092956E-01   8.81354283E-01   9.09277586E-01   9.51520404E-01   9.70111243E-01   9.77064773E-01 
  8.53239005E-01   8.87329139E-01   9.24671313E-01   9.34925804E-01   9.52538657E-01   9.75096316E-01   9.84860496E-01   9.88664455E-01 
  7.50930609E-01   7.92703577E-01   8.36883427E-01   8.49614935E-01   8.74136083E-01   9.18760300E-01   9.36129648E-01   9.46360930E-01 
  7.07566600E-01   7.62634855E-01   8.25580303E-01   8.44577845E-01   8.79361009E-01   9.30412941E-01   9.53226137E-01   9.63013024E-01 
  8.46642446E-01   8.82265005E-01   9.19011017E-01   9.29415224E-01   9.47982378E-01   9.73758791E-01   9.84071985E-01   9.88039409E-01 
  7.44594085E-01   7.94369594E-01   8.51185100E-01   8.68474627E-01   9.00266483E-01   9.47467500E-01   9.68371973E-01   9.76085230E-01 
  7.31803203E-01   7.80574721E-01   8.38295142E-01   8.56525297E-01   8.90991543E-01   9.44133062E-01   9.66923916E-01   9.75094161E-01 
  8.72557147E-01   9.05404218E-01   9.38059221E-01   9.46842067E-01   9.61561481E-01   9.81240996E-01   9.88862927E-01   9.91683027E-01 
  7.48921387E-01   7.87691031E-01   8.33197881E-01   8.47854348E-01   8.75768347E-01   9.22045667E-01   9.44022841E-01   9.60058920E-01 
  8.58585319E-01   8.89356424E-01   9.19581414E-01   9.28034996E-01   9.43447968E-01   9.70160201E-01   9.79429408E-01   9.83335360E-01 
  8.44780013E-01   8.81502211E-01   9.20399355E-01   9.31604499E-01   9.51116019E-01   9.75652967E-01   9.85455877E-01   9.89150400E-01 
  7.80311960E-01   8.23552646E-01   8.73274129E-01   8.88502770E-01   9.16504410E-01   9.57929025E-01   9.75227640E-01   9.81348549E-01 
  4.40766432E-01   4.68977688E-01   5.11047216E-01   5.27182477E-01   5.60105332E-01   6.35238400E-01   6.93284819E-01   7.43149194E-01 
  8.67378770E-01   8.96672711E-01   9.27128667E-01   9.35910874E-01   9.51695789E-01   9.75741927E-01   9.84835361E-01   9.87971854E-01 
  8.44404440E-01   8.77912267E-01   9.13462584E-01   9.23922419E-01   9.42675420E-01   9.71350757E-01   9.83455104E-01   9.87450297E-01 
  8.12972713E-01   8.51791525E-01   8.92463807E-01   9.03667796E-01   9.23317641E-01   9.42433410E-01   9.46023155E-01   9.54719785E-01 
  6.85237900E-01   7.23477539E-01   7.66597521E-01   7.80350395E-01   8.06466528E-01   8.54773437E-01   8.82639488E-01   8.98535435E-01 
  4.05777360E-01   4.29059692E-01   4.58475125E-01   4.69808072E-01   4.96509249E-01   5.85341751E-01   6.57618312E-01   7.16120506E-01 
  8.35195321E-01   8.70294240E-01   9.08325738E-01   9.19581384E-01   9.40021531E-01   9.70554175E-01   9.83085586E-01   9.87378896E-01 
  8.25329145E-01   8.64484003E-01   9.06797755E-01   9.18626546E-01   9.38401585E-01   9.61139067E-01   9.72288393E-01   9.78289887E-01 
  8.60821215E-01   8.96674442E-01   9.33114198E-01   9.42939233E-01   9.59187840E-01   9.79380027E-01   9.87643495E-01   9.90605868E-01 
  5.37972121E-01   5.78805546E-01   6.31446385E-01   6.49643980E-01   6.86895900E-01   7.53724628E-01   7.91730825E-01   8.20706954E-01 
  7.98920949E-01   8.37577274E-01   8.80220706E-01   8.93013349E-01   9.16621060E-01   9.53372221E-01   9.69410739E-01   9.76146294E-01 
  6.07543081E-01   6.51675929E-01   7.08795359E-01   7.27851400E-01   7.63591669E-01   8.27079546E-01   8.65834877E-01   8.91648815E-01 
  8.26150044E-01   8.66051542E-01   9.07420972E-01   9.19267592E-01   9.40485209E-01   9.69424519E-01   9.81221696E-01   9.85877607E-01 
  7.64753770E-01   8.01553282E-01   8.45214324E-01   8.59816178E-01   8.88624677E-01   9.35520802E-01   9.55892919E-01   9.65129639E-01 
  8.33205574E-01   8.67960952E-01   9.06111538E-01   9.17617417E-01   9.38897904E-01   9.69923105E-01   9.82245849E-01   9.86616944E-01 
  8.64973488E-01   8.95047272E-01   9.26409233E-01   9.35547986E-01   9.52347986E-01   9.76950274E-01   9.86543919E-01   9.89908271E-01 
  8.24009424E-01   8.62285901E-01   9.01691080E-01   9.12869747E-01   9.32986176E-01   9.62636087E-01   9.73155462E-01   9.79011287E-01 
  7.87022955E-01   8.19032504E-01   8.55858149E-01   8.66919851E-01   8.90548564E-01   9.30616368E-01   9.48670223E-01   9.57747234E-01 
  7.03731222E-01   7.51245588E-01   8.09280246E-01   8.27147357E-01   8.56884611E-01   8.78705741E-01   8.87491462E-01   9.02880592E-01 
  7.37872078E-01   7.84456961E-01   8.37376474E-01   8.53660968E-01   8.83512261E-01   9.26792522E-01   9.46054168E-01   9.53661268E-01 
  8.01697165E-01   8.41562628E-01   8.85262394E-01   8.98249743E-01   9.21784979E-01   9.57774912E-01   9.73077312E-01   9.79302574E-01 
  7.03648749E-01   7.43818410E-01   7.89921740E-01   8.04617207E-01   8.31721428E-01   8.79306434E-01   9.03611258E-01   9.18534970E-01 
  8.63342921E-01   8.96639296E-01   9.30850861E-01   9.40236886E-01   9.56398043E-01   9.77685668E-01   9.86732732E-01   9.90049697E-01 
  8.41871141E-01   8.79044264E-01   9.17771753E-01   9.28560429E-01   9.47155095E-01   9.72214989E-01   9.81660448E-01   9.85397865E-01 
  8.15610975E-01   8.54511226E-01   8.96689799E-01   9.09206881E-01   9.31884318E-01   9.65981539E-01   9.79972039E-01   9.84943692E-01 
  7.86547094E-01   8.28305045E-01   8.73979284E-01   8.87170633E-01   9.08945442E-01   9.42341376E-01   9.54812431E-01   9.61819709E-01 
  8.70100644E-01   9.02822912E-01   9.34929836E-01   9.43624320E-01   9.58832309E-01   9.79271923E-01   9.87210836E-01   9.90258433E-01 
  5.60968593E-01   6.01386620E-01   6.53638557E-01   6.72130579E-01   7.08919176E-01   7.77821654E-01   8.24476721E-01   8.55422869E-01 
  8.19611812E-01   8.59313366E-01   9.01770230E-01   9.13999254E-01   9.35749864E-01   9.67878176E-01   9.81053939E-01   9.85704563E-01 
  8.12544336E-01   8.45131383E-01   8.77282912E-01   8.86556585E-01   9.03919510E-01   9.44989030E-01   9.58381101E-01   9.64042781E-01 
  7.83551038E-01   8.31864133E-01   8.83145404E-01   8.98305293E-01   9.24829072E-01   9.61091400E-01   9.75992971E-01   9.81925938E-01 
  8.47928685E-01   8.81208674E-01   9.15974769E-01   9.26064212E-01   9.44322138E-01   9.69959396E-01   9.78776074E-01   9.82532363E-01 
  7.67439318E-01   8.05571980E-01   8.48181044E-01   8.61494349E-01   8.86110400E-01   9.28515699E-01   9.49907252E-01   9.60466829E-01 
  8.46024946E-01   8.79179953E-01   9.14456081E-01   9.24769860E-01   9.43598515E-01   9.71728771E-01   9.82626356E-01   9.86759595E-01 
  7.66572554E-01   8.13325796E-01   8.66498675E-01   8.82605581E-01   9.12083686E-01   9.54926488E-01   9.73608091E-01   9.80328843E-01 
