SZA(¦È_0)  VZA(¦È)  RAA(¦¤¦Õ)  ¦Ó_a(865)  angstrom(443/865)  f_v  RH  CHL  CDOM  MIN 
  3.06996401E+01   4.93293643E+00   1.79812172E+02   1.55533321E-01   2.00818328E+00   9.56814409E+01   7.90323315E+01   3.16621400E+00   2.25542000E-01   6.31749000E-01 
  6.66337546E+01   6.12079985E+01   8.54683262E+01   3.58042551E-02   1.06556239E+00   1.85925531E+01   8.17741514E+01   5.20504000E+00   4.62790000E-02   6.33217000E-01 
  2.98483078E+01   6.50726289E+01   7.76771201E+01   7.95551723E-03   1.88941890E+00   8.69154781E+01   8.38664222E+01   1.53455000E+01   5.02310000E-02   4.34929400E+00 
  4.21652017E+01   6.98800222E+01   3.12028642E+00   3.86283904E-02   1.47792730E+00   3.80829250E+01   4.35683438E+01   1.69179900E+01   1.71786300E+00   3.37676300E+00 
  2.64229478E+01   4.95968879E+01   1.71845284E+02   3.08844437E-01   2.03363595E+00   8.28266996E+01   4.28099964E+01   2.47825800E+00   4.39400000E-02   2.24078100E+01 
  2.59585230E+01   2.50848355E+01   1.24118367E+02   3.49327181E-02   1.08665837E+00   1.88959368E+01   7.85426493E+01   4.64072000E-01   1.71090000E-02   1.90481000E-01 
  5.78124475E+01   5.45084189E+01   4.04950698E+01   6.57289952E-03   1.07681057E+00   2.21230372E+01   3.39930089E+01   6.56216000E-01   7.39630000E-02   3.05722000E-01 
  6.60513941E+01   2.65974087E+01   1.79219165E+02   4.14748788E-01   1.28600698E+00   2.90468541E+01   3.80416404E+01   5.90878000E-01   1.71110000E-02   5.76587000E-01 
  6.58280120E+01   3.57174097E+00   1.09125218E+02   1.79329248E-03   2.01693625E+00   8.02216876E+01   6.51778077E+01   1.75386500E+00   2.53344000E-01   3.87389000E+00 
  6.83649831E+01   1.73863143E+01   1.77621875E+01   2.64456975E-03   1.54695989E+00   4.14049534E+01   8.32008158E+01   2.99885900E+00   4.56830000E-02   2.09704200E+00 
  5.67540391E+01   1.20821384E+01   5.93014336E+01   1.01821269E-03   1.77808163E+00   8.54009392E+01   9.05562763E+01   3.03863000E-01   6.32500000E-03   7.03602000E-01 
  6.60918146E+01   9.34741710E+00   1.76067367E+01   1.30351332E-01   1.64879259E+00   4.74321909E+01   3.90984755E+01   7.54350400E+00   1.69261000E-01   2.47502400E+00 
  1.47818786E+01   6.86513145E+00   3.84668322E+01   1.62967632E-02   1.68211891E+00   7.28013058E+01   9.29410706E+01   4.67732700E+00   1.92209000E-01   2.28438800E+00 
  3.90765795E+01   3.81564176E+01   1.71633666E+02   2.09890247E-03   8.01764086E-01   1.41135793E+01   6.98852161E+01   4.47170300E+00   8.95580000E-02   8.86898000E-01 
  2.74402928E+01   1.51913787E+01   1.99871770E+01   4.63823915E-03   2.06484818E+00   9.01707130E+01   7.24921168E+01   3.93928600E+00   4.17450000E-02   8.15068000E-01 
  1.96811137E+01   5.50220896E+01   1.25011005E+02   1.17948531E-01   1.68906369E+00   4.76301687E+01   6.85063387E+01   3.09457000E+00   1.40794000E-01   1.10140900E+00 
  1.03009268E+01   4.91937187E+01   1.43560671E+02   3.17064366E-02   1.45989492E+00   3.62746583E+01   5.66265775E+01   5.78729000E-01   9.26690000E-02   3.64449000E-01 
  2.19258790E+01   5.49719513E+01   7.43961852E+01   7.92951670E-02   1.92587095E+00   7.04591786E+01   7.30886512E+01   2.09550000E+00   3.75035000E-01   5.97974000E-01 
  5.19834552E+01   1.99625028E+01   5.08062458E+01   4.72787906E-01   2.03979435E+00   8.24654134E+01   2.39030972E+01   5.85727000E-01   4.34610000E-02   6.52913000E-01 
  4.88018896E+01   6.35332717E+01   1.61729470E+01   3.60653998E-02   5.90953936E-01   9.18046339E+00   8.09572924E+01   6.02666900E+00   8.48100000E-02   4.47600400E+00 
  2.23169043E+00   3.63930608E+01   1.14059073E+02   5.44038764E-02   9.58799396E-01   1.62993622E+01   8.22136930E+01   2.19842300E+00   6.83170000E-02   1.41199200E+00 
  4.17234631E+01   5.82047792E+01   6.73577416E+01   1.14639180E-02   1.21455122E+00   2.65581630E+01   3.81228386E+01   2.99917700E+00   9.56420000E-02   3.19067000E-01 
  5.36228717E+01   6.33511598E+01   4.05532349E+01   4.75684056E-02   1.59074901E+00   5.63835178E+01   9.33242066E+01   2.26898800E+00   7.36960000E-02   4.29033100E+00 
  4.71594318E+01   6.97800547E+00   8.35174520E+00   4.38462627E-02   1.59655296E+00   5.44216235E+01   9.19569296E+01   5.83352400E+00   1.26485000E-01   5.66072800E+00 
  3.25965912E+01   6.52253056E+01   1.01603576E+02   2.06654133E-02   6.79703732E-01   1.28606291E+01   4.49132609E+01   2.11378000E+00   8.06000000E-02   1.47553300E+00 
  5.89583424E+00   3.63108313E+01   1.12800907E+01   1.59648584E-03   2.15506853E+00   9.85101174E+01   2.11929856E+01   5.45367400E+00   2.20989000E-01   6.58274000E-01 
  6.59494509E+01   3.52340103E+00   1.68609988E+02   5.14655751E-03   2.07183817E+00   8.83944836E+01   4.67070112E+01   1.06412400E+00   7.87900000E-02   5.54833000E-01 
