R_toa(412)  R_toa(443)  R_toa(486)  R_toa(551)  R_toa(671)  R_toa(745)  R_toa(862)  R_toa(1238)  R_toa(1610)  R_toa(2257)  
  4.74412067E-02   3.85095467E-02   3.02200933E-02   2.22000594E-02   1.28691367E-02   9.64722324E-03   6.96015650E-03   2.72540608E-03   1.13120793E-03   2.51367670E-04 
  4.36297180E-02   3.59297513E-02   2.73530097E-02   1.78415924E-02   9.28011265E-03   6.52867877E-03   4.36209562E-03   1.58513197E-03   8.61591969E-04   4.31606939E-04 
  5.66696171E-02   4.66541570E-02   3.75987296E-02   2.88860363E-02   1.24296818E-02   6.56638988E-03   3.93999997E-03   8.98634924E-04   3.29689291E-04   8.11080735E-05 
  7.47053768E-02   6.42351941E-02   5.30039381E-02   3.99233562E-02   2.71149798E-02   1.98285970E-02   1.44777039E-02   6.59335939E-03   4.60428855E-03   3.32231557E-03 
  8.68003634E-02   7.70691578E-02   6.84186998E-02   6.16512908E-02   4.26479529E-02   2.69705064E-02   2.04074827E-02   8.32483676E-03   3.64535297E-03   1.10619326E-03 
  4.17335264E-02   3.33976772E-02   2.35350412E-02   1.47287224E-02   7.02088015E-03   4.85302633E-03   3.17411662E-03   1.27978820E-03   7.80104007E-04   4.01695834E-04 
  3.95327901E-02   3.10426348E-02   2.24039612E-02   1.37769867E-02   6.61394081E-03   4.45690691E-03   2.74180399E-03   8.53039904E-04   4.75644726E-04   2.84292839E-04 
  4.36526523E-02   3.79863894E-02   3.12386282E-02   2.31299608E-02   1.70851432E-02   1.48414598E-02   1.25901225E-02   7.82481681E-03   5.32828703E-03   3.15891822E-03 
  2.40748361E-02   1.92530869E-02   1.49641885E-02   1.14996480E-02   4.84886826E-03   2.58306944E-03   1.49671271E-03   3.13417892E-04   1.07879738E-04   2.58703745E-05 
  2.28254728E-02   1.87287366E-02   1.43484194E-02   1.01389968E-02   4.17790445E-03   2.44947151E-03   1.43912028E-03   3.25643580E-04   1.20667995E-04   3.46810003E-05 
  2.66816750E-02   2.19081622E-02   1.53102272E-02   9.46491340E-03   3.92595565E-03   2.43256319E-03   1.38837878E-03   3.03065738E-04   1.06427057E-04   2.60406216E-05 
  2.97643158E-02   2.55285676E-02   2.13292190E-02   1.67064062E-02   1.03064102E-02   7.78258980E-03   5.79041390E-03   2.42973456E-03   1.30947643E-03   7.10513569E-04 
  4.00106956E-02   3.19876094E-02   2.52073280E-02   2.01747245E-02   8.30211814E-03   4.61017481E-03   2.77978842E-03   7.45029393E-04   3.55899640E-04   1.69429220E-04 
  4.71746397E-02   3.70804027E-02   2.74610931E-02   1.87276853E-02   7.90059232E-03   4.76778884E-03   2.75460330E-03   6.24609200E-04   2.36941342E-04   7.06238708E-05 
  3.50419282E-02   2.79984629E-02   2.08709956E-02   1.47529810E-02   5.77738279E-03   3.37291724E-03   1.95843809E-03   4.45541986E-04   1.62518661E-04   4.38609136E-05 
  6.25033413E-02   5.08494960E-02   3.94779256E-02   2.82635738E-02   1.53858157E-02   1.11899795E-02   7.98062531E-03   3.29452941E-03   1.67566522E-03   7.46589308E-04 
  4.99189171E-02   3.89238840E-02   2.81664868E-02   1.79412080E-02   8.54866829E-03   5.79999248E-03   3.69011705E-03   1.25705187E-03   6.48959082E-04   3.13896038E-04 
  5.47026997E-02   4.38247074E-02   3.35309908E-02   2.34202928E-02   1.32619802E-02   9.65735029E-03   6.63962617E-03   2.33213714E-03   9.95621995E-04   3.09986009E-04 
  6.07773927E-02   5.59885556E-02   4.97991959E-02   4.06113857E-02   3.13262223E-02   2.63824574E-02   2.00742062E-02   7.49258772E-03   2.93059405E-03   9.33831570E-04 
  5.87156817E-02   5.02983103E-02   4.19294153E-02   3.35466947E-02   1.77920423E-02   1.19741405E-02   9.18255816E-03   5.70677557E-03   5.03767281E-03   4.39767325E-03 
  4.50086779E-02   3.64648526E-02   2.79476122E-02   2.04958396E-02   8.95886729E-03   5.79115258E-03   3.93392324E-03   1.75225603E-03   1.17044858E-03   7.11189167E-04 
  4.44920881E-02   3.46034598E-02   2.51026679E-02   1.61517175E-02   7.31695454E-03   4.73995418E-03   2.88877250E-03   8.37029997E-04   4.16946313E-04   2.13815907E-04 
  5.97949595E-02   5.25710644E-02   4.46644243E-02   3.56117218E-02   2.05589560E-02   1.46970760E-02   1.07303193E-02   4.02312543E-03   1.87161773E-03   7.23787503E-04 
  3.23943033E-02   2.70609726E-02   2.28965357E-02   2.06159233E-02   8.62642676E-03   4.31994235E-03   2.78245039E-03   8.75814995E-04   4.36891878E-04   1.78704828E-04 
  5.83901973E-02   4.69277275E-02   3.52198895E-02   2.38148506E-02   1.05695016E-02   6.70333828E-03   4.15546461E-03   1.32793360E-03   7.40682076E-04   4.13436848E-04 
  3.99118448E-02   3.05855055E-02   2.25480088E-02   1.59229365E-02   6.59220260E-03   3.82569744E-03   2.19183649E-03   4.67683270E-04   1.61501716E-04   3.84366112E-05 
  2.43712180E-02   1.92327352E-02   1.39799243E-02   8.78817748E-03   4.01410475E-03   2.60567994E-03   1.53529178E-03   3.59935622E-04   1.25738051E-04   2.95215884E-05 
