rho_a(412)  rho_a(443)  rho_a(486)  rho_a(551)  rho_a(671)  rho_a(745)  rho_a(862)  rho_a(1238)  rho_a(1610)  rho_a(2257)  
  1.37290330E-02   1.32696747E-02   1.24078174E-02   1.10039142E-02   8.68271758E-03   7.46405912E-03   5.89089265E-03   2.76472228E-03   1.22412216E-03   2.87534847E-04 
  6.34307101E-03   7.18734786E-03   7.61015819E-03   7.41075795E-03   6.25723780E-03   5.52457079E-03   4.57951733E-03   2.79809795E-03   1.98030157E-03   1.34906118E-03 
  1.32746758E-03   1.39620178E-03   1.37922836E-03   1.26678615E-03   1.00854774E-03   8.62978213E-04   6.75749688E-04   3.13077085E-04   1.45044485E-04   4.27183386E-05 
  1.51367901E-02   1.86749227E-02   2.14892570E-02   2.24686898E-02   1.96882996E-02   1.71381114E-02   1.36440429E-02   8.10680681E-03   6.62856995E-03   5.92085564E-03 
  3.55819762E-02   3.58599794E-02   3.48732926E-02   3.20066358E-02   2.61562274E-02   2.27408730E-02   1.82431957E-02   8.80763041E-03   4.11388062E-03   1.38054257E-03 
  1.74286725E-03   1.72852235E-03   1.68049313E-03   1.59283786E-03   1.42569469E-03   1.33849737E-03   1.21874585E-03   9.40289300E-04   7.35274755E-04   4.62991006E-04 
  1.61102597E-03   1.81385994E-03   1.91731368E-03   1.86863378E-03   1.58106293E-03   1.39250363E-03   1.15073020E-03   7.81255860E-04   6.71277047E-04   5.91498973E-04 
  3.05283465E-02   3.26381965E-02   3.39315551E-02   3.38687538E-02   3.15720822E-02   2.95990041E-02   2.66438382E-02   1.90335714E-02   1.41858571E-02   9.74421109E-03 
  3.13067546E-04   3.25555498E-04   3.17344482E-04   2.86880740E-04   2.21986606E-04   1.85972472E-04   1.41106600E-04   5.90033006E-05   2.42982738E-05   7.25824096E-06 
  3.87003685E-04   4.34652001E-04   4.60936086E-04   4.55703966E-04   3.91953102E-04   3.44040371E-04   2.76823960E-04   1.41948206E-04   8.23153405E-05   4.41883478E-05 
  1.00536260E-04   1.01932675E-04   9.59761164E-05   8.52350959E-05   6.73756024E-05   5.82224277E-05   4.64396957E-05   2.39156779E-05   1.25478108E-05   4.32832629E-06 
  1.71782108E-02   1.86274239E-02   1.93980047E-02   1.89302585E-02   1.60973171E-02   1.40001441E-02   1.11028567E-02   5.56274890E-03   3.34231453E-03   2.16426326E-03 
  1.86414563E-03   1.85217326E-03   1.74344583E-03   1.49310376E-03   1.06817349E-03   8.69733366E-04   6.45320002E-04   3.32963704E-04   2.27014192E-04   1.57311134E-04 
  1.71528940E-04   1.81978255E-04   1.79158989E-04   1.77879535E-04   1.50359421E-04   1.43549238E-04   1.22674541E-04   8.38363904E-05   5.91020165E-05   3.53718351E-05 
  6.74330275E-04   6.52028777E-04   5.92820957E-04   4.95388927E-04   3.46387205E-04   2.79493621E-04   2.04443500E-04   8.77408007E-05   4.11462433E-05   1.63697230E-05 
  1.22716632E-02   1.21014102E-02   1.13885805E-02   1.01027236E-02   7.97630350E-03   6.87900645E-03   5.53944132E-03   2.96750987E-03   1.69569595E-03   8.87258017E-04 
  2.59355932E-03   2.50414947E-03   2.32940368E-03   2.05875781E-03   1.64789247E-03   1.44969681E-03   1.21064257E-03   7.49073905E-04   5.04409712E-04   3.20527915E-04 
  1.12422533E-02   1.12969917E-02   1.07967342E-02   9.64598532E-03   7.39630464E-03   6.19532165E-03   4.68508530E-03   2.05383367E-03   9.67354796E-04   3.48080458E-04 
  5.47949860E-02   5.76852132E-02   5.84785246E-02   5.59652602E-02   4.67475282E-02   4.01442653E-02   3.06368012E-02   1.20726386E-02   4.97147244E-03   1.76558666E-03 
  7.73475027E-03   9.26398307E-03   1.04375900E-02   1.09601710E-02   1.03749797E-02   9.77346622E-03   8.96769525E-03   8.05305837E-03   8.22784570E-03   8.61126417E-03 
  2.50208456E-03   2.49978443E-03   2.43151592E-03   2.28602835E-03   2.01863215E-03   1.87372168E-03   1.69249007E-03   1.31638398E-03   1.07450938E-03   7.74963364E-04 
  1.61676903E-03   1.68163452E-03   1.65541646E-03   1.51467318E-03   1.20665154E-03   1.03887408E-03   8.36405739E-04   5.02872052E-04   3.75719540E-04   2.90989874E-04 
  1.51805424E-02   1.80297452E-02   2.02383544E-02   2.09010436E-02   1.86006547E-02   1.64153793E-02   1.30023356E-02   6.02425286E-03   3.15084310E-03   1.47581135E-03 
  3.13419836E-03   3.08352971E-03   2.94457511E-03   2.65115496E-03   2.13944516E-03   1.86551938E-03   1.51154918E-03   8.41486131E-04   5.17881422E-04   2.61776479E-04 
  1.55052697E-03   1.63170724E-03   1.62408036E-03   1.52346684E-03   1.29624989E-03   1.18206195E-03   1.03382718E-03   7.93840421E-04   6.70600238E-04   5.40068727E-04 
  2.14935235E-04   2.09820879E-04   1.90657822E-04   1.61463971E-04   1.16911732E-04   9.57991956E-05   7.06042768E-05   2.75049558E-05   9.31699999E-06   1.44114633E-06 
  9.39695086E-04   9.69007857E-04   9.47916796E-04   8.55273903E-04   6.59471971E-04   5.51420424E-04   4.16840378E-04   1.70726576E-04   6.84913925E-05   1.72707219E-05 
  9.10462541E-03   9.16686800E-03   8.86563661E-03   8.16082833E-03   6.85412340E-03   6.18852067E-03   5.29854172E-03   3.23636946E-03   1.97238395E-03   9.73294829E-04 
  2.64837175E-03   2.69050304E-03   2.64044801E-03   2.41244800E-03   1.91960700E-03   1.64471102E-03   1.29651153E-03   7.41760374E-04   5.25397050E-04   3.56117067E-04 
  8.61456332E-02   1.14400561E-01   1.43554685E-01   1.69389378E-01   1.82249016E-01   1.79792322E-01   1.71343994E-01   1.57136279E-01   1.61086066E-01   1.72583122E-01 
