t(412)  t(443)  t(486)  t(551)  t(671)  t(745)  t(862)  t(1238)  t(1610)  t(2257)  
  7.85041625E-01   8.29951312E-01   8.78499493E-01   9.19018473E-01   9.43210179E-01   9.50021135E-01   9.62140233E-01   9.81603120E-01   9.90538897E-01   9.96142354E-01 
  7.22342719E-01   7.73578735E-01   8.25632061E-01   8.77406432E-01   9.31129016E-01   9.48789090E-01   9.64478854E-01   9.83150668E-01   9.87989247E-01   9.90863267E-01 
  6.99222535E-01   7.58551980E-01   8.17607294E-01   8.76450578E-01   9.34946658E-01   9.55537241E-01   9.72805742E-01   9.92393255E-01   9.96878270E-01   9.98939621E-01 
  6.07628543E-01   6.62493462E-01   7.22377759E-01   7.92774525E-01   8.72394843E-01   9.04263263E-01   9.32856940E-01   9.68597963E-01   9.77753457E-01   9.82130545E-01 
  5.32326569E-01   5.77176808E-01   6.25654087E-01   6.83943053E-01   7.64576067E-01   8.00673443E-01   8.45364698E-01   9.28053273E-01   9.61738560E-01   9.77560246E-01 
  8.15356905E-01   8.61975549E-01   8.99392205E-01   9.34745856E-01   9.64907488E-01   9.74668894E-01   9.83464712E-01   9.93131425E-01   9.95581876E-01   9.96954716E-01 
  7.96611260E-01   8.31645754E-01   8.71568560E-01   9.12264671E-01   9.55997879E-01   9.69827789E-01   9.81538849E-01   9.94243712E-01   9.96867900E-01   9.98077168E-01 
  6.81252624E-01   7.40547679E-01   7.86527285E-01   8.36674972E-01   8.76988724E-01   8.92796277E-01   9.14492268E-01   9.46573084E-01   9.60386772E-01   9.69052317E-01 
  8.84879804E-01   9.14268865E-01   9.38708072E-01   9.60076771E-01   9.81939276E-01   9.87924326E-01   9.93000359E-01   9.98288249E-01   9.99348957E-01   9.99810310E-01 
  8.73669664E-01   9.03985739E-01   9.31196486E-01   9.55756166E-01   9.79653862E-01   9.86525411E-01   9.92230610E-01   9.98118276E-01   9.99281707E-01   9.99804066E-01 
  8.68592003E-01   9.04009110E-01   9.32615732E-01   9.57922817E-01   9.80124086E-01   9.86826972E-01   9.92504780E-01   9.98257934E-01   9.99352080E-01   9.99824655E-01 
  8.41239346E-01   8.78291836E-01   9.09196197E-01   9.35640286E-01   9.66000358E-01   9.73669555E-01   9.80596504E-01   9.90293226E-01   9.94802325E-01   9.97482933E-01 
  8.57173232E-01   8.94372222E-01   9.25534221E-01   9.52711401E-01   9.75831860E-01   9.82363969E-01   9.89214115E-01   9.96696502E-01   9.98458923E-01   9.99435117E-01 
  8.18013473E-01   8.65354829E-01   9.04960880E-01   9.40193274E-01   9.69633813E-01   9.78729947E-01   9.87594884E-01   9.96807614E-01   9.98612136E-01   9.99401035E-01 
  8.58664748E-01   8.94822679E-01   9.25319776E-01   9.52528635E-01   9.76773293E-01   9.84365363E-01   9.90840828E-01   9.97631458E-01   9.99051372E-01   9.99679294E-01 
  6.72319444E-01   7.23807524E-01   7.71668723E-01   8.22182014E-01   8.82187640E-01   9.06842030E-01   9.30785044E-01   9.66536991E-01   9.79111078E-01   9.85724639E-01 
  7.68929675E-01   8.17193553E-01   8.62289223E-01   9.05588303E-01   9.46931457E-01   9.60604679E-01   9.73409140E-01   9.88717248E-01   9.92862761E-01   9.95200811E-01 
  7.12114397E-01   7.54052550E-01   7.96747862E-01   8.42391157E-01   8.99794133E-01   9.22070184E-01   9.43831445E-01   9.76056385E-01   9.86990468E-01   9.92688461E-01 
  5.68629258E-01   6.28316088E-01   6.85210225E-01   7.50796221E-01   8.26382724E-01   8.58601546E-01   8.94632773E-01   9.48435349E-01   9.70754039E-01   9.82673663E-01 
  6.80773296E-01   7.40616046E-01   8.01205577E-01   8.62230506E-01   9.20257372E-01   9.42120982E-01   9.59909354E-01   9.79756301E-01   9.84052156E-01   9.86787473E-01 
  8.17596248E-01   8.59119085E-01   8.96014460E-01   9.29960493E-01   9.61973051E-01   9.72648534E-01   9.81621221E-01   9.92122368E-01   9.95163215E-01   9.97295761E-01 
  7.62584405E-01   8.06577633E-01   8.52720201E-01   8.99362815E-01   9.48316805E-01   9.63799313E-01   9.77138426E-01   9.91823245E-01   9.95032241E-01   9.96554057E-01 
  6.63870832E-01   7.20589046E-01   7.78593108E-01   8.38951329E-01   8.99027409E-01   9.22734180E-01   9.45266095E-01   9.76776438E-01   9.87182400E-01   9.93300192E-01 
  8.75947327E-01   9.05405119E-01   9.31294892E-01   9.54499824E-01   9.79807369E-01   9.85970017E-01   9.90923830E-01   9.95998193E-01   9.97600669E-01   9.98817314E-01 
  7.05642749E-01   7.61483449E-01   8.18202890E-01   8.74834956E-01   9.31837647E-01   9.50275959E-01   9.66223102E-01   9.83324414E-01   9.87002743E-01   9.89162591E-01 
  8.29347273E-01   8.69978827E-01   9.06666054E-01   9.40123519E-01   9.71085835E-01   9.80828761E-01   9.88932727E-01   9.97359100E-01   9.99026023E-01   9.99733626E-01 
  8.67866872E-01   9.05332857E-01   9.35107222E-01   9.60239978E-01   9.81353186E-01   9.87784358E-01   9.92921905E-01   9.98130979E-01   9.99215922E-01   9.99701630E-01 
  7.46045199E-01   8.01039146E-01   8.49421589E-01   8.96148913E-01   9.33942676E-01   9.47759809E-01   9.63118930E-01   9.83456645E-01   9.89755747E-01   9.92933647E-01 
  8.38078665E-01   8.77979427E-01   9.13287221E-01   9.44621307E-01   9.71454850E-01   9.79949045E-01   9.87332830E-01   9.95296641E-01   9.97405090E-01   9.98924207E-01 
  5.71366714E-01   6.08951094E-01   6.53454214E-01   7.06270838E-01   7.61932593E-01   7.89341952E-01   8.15961661E-01   8.56063065E-01   8.70365679E-01   8.83689093E-01 
  7.12206438E-01   7.51648654E-01   7.87898807E-01   8.24364387E-01   8.76754270E-01   9.10910071E-01   9.34931305E-01   9.64873334E-01   9.82334675E-01   9.92433218E-01 
